t,z,y,vz,vy,thrust_z,thrust_y,delta,A,e_R,lf,vy_value,wind_y
26.19,1.1923543521702977,-0.1582065148006622,0.005140581563813188,-0.002948958254922041,11.758875110900902,0.005998003149135599,1.2578343576761244,1.0,-0.0,0.4114,1.0,0.0
26.2,1.1924046870314433,-0.15823551231041194,0.005033486114567082,-0.0028997509749747455,11.759148546090467,0.005897916509844082,1.2380642069650551,1.0,-0.0,0.4114,1.0,0.0
26.21,1.1924467353106232,-0.1582720397346664,0.004204827917989195,-0.00365274242544404,11.672561016410654,-0.09036570090088879,0.009366775445904807,1.0,-0.0,0.4114,1.0,0.0
26.22,1.192487907583987,-0.15830795747901477,0.004117227336364414,-0.0035917744348384615,11.761487930205027,0.00730548485088808,1.5870274636302582,1.0,-0.0,0.4114,1.0,0.0
26.23,1.1925282221016555,-0.15834327573423446,0.004031451766856832,-0.0035318255219672153,11.76170693165909,0.007183548869676923,1.5609597989171935,1.0,-0.0,0.4114,1.0,0.0
26.240000000000002,1.1925916697070038,-0.15836646335095209,0.006344760534823503,-0.002318761671761716,12.049597052156,0.1455576829914458,0.00867306914668355,1.0,-0.0,0.4114,1.0,0.0
26.25,1.1926537954872407,-0.15838926414894736,0.006212578023681345,-0.0022800797995277513,11.756138098662941,0.004637523343523432,3.6932541795353937,1.0,-0.0,0.4114,1.0,0.0
26.26,1.1927146269803892,-0.15841168458705845,0.006083149314854647,-0.0022420438111096738,11.756468554940797,0.0045601595990555025,3.6267078324154087,1.0,-0.0,0.4114,1.0,0.0
26.27,1.1927616534790781,-0.15843325797849975,0.004702649868884396,-0.0021573391441292514,11.60634006648357,0.01016053862928994,0.010098274021138349,1.0,-0.0,0.4114,1.0,0.0
26.28,1.1928077002590443,-0.15845447150314287,0.004604677996615968,-0.0021213524643125454,11.76024337532779,0.004314678288258503,1.3563475802239255,1.0,-0.0,0.4114,1.0,0.0
26.29,1.1928527877310944,-0.15847533116903287,0.0045087472050198045,-0.0020859665889988175,11.76048830500846,0.004242704928625091,1.336603902948946,1.0,-0.0,0.4114,1.0,0.0
