t,z,vz,thrust,delta,A,e_R,lf
16.53,0.31523381886985463,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.54,0.3151862053466789,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.55,0.3151385918235032,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.56,0.31509097830032745,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.57,0.3150433647771517,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.580000000000002,0.314995751253976,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.59,0.31494813773080027,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.6,0.31490052420762454,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.61,0.3148529106844488,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.62,0.3148052971612731,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.63,0.31475768363809736,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.64,0.31471007011492164,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.65,0.3146624565917459,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.66,0.3146148430685702,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.67,0.31456722954539446,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.68,0.31451961602221873,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.69,0.314472002499043,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.7,0.3144243889758673,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.71,0.31437677545269155,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.72,0.3143291619295158,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.73,0.3142815484063401,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.740000000000002,0.31423393488316437,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.75,0.31418632135998864,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.76,0.3141387078368129,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.77,0.3140910943136372,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.78,0.31404348079046146,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.79,0.31399586726728573,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.8,0.31394825374411,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.81,0.3139006402209343,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.82,0.31385302669775855,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.830000000000002,0.3138054131745828,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.84,0.3137577996514071,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.85,0.31371018612823137,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.86,0.31366257260505565,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.87,0.3136149590818799,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.88,0.3135673455587042,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.89,0.31351973203552846,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.9,0.31347211851235274,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.91,0.313424504989177,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.92,0.3133768914660013,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.93,0.31332927794282556,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.94,0.31328166441964983,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.95,0.3132340508964741,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.96,0.3131864373732984,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.97,0.31313882385012265,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.98,0.3130912103269469,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.990000000000002,0.3130435968037712,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.0,0.31299598328059547,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
17.01,0.31294836975741974,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
