rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio,fuente,paso_phantom
A2-B0-C2-batch4-r98,I,581335,7,0.454,0.325,5.65,7,0.252,0.559520821767477,0.5656854237492375,1.6325902704998523,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r63,I,477940,6,0.517,0.314,4.5,6,0.331,0.5608035173449282,0.14142135593730937,1.8614750872773356,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r125,I,483954,5,0.659,0.242,7.15,6,0.305,0.5625958561744474,0.5656854237492379,2.58429431945463,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r88,I,580365,7,0.449,0.192,5.5,6,0.234,0.5636932892379024,0.5501039537227574,1.9381951297674518,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r7,I,372508,8,0.538,0.116,7.06,6,0.158,0.563695465358207,0.5656854240492383,3.472186455635176,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r32,I,474933,4,0.646,0.325,5.6,6,0.159,0.5639609587703198,0.353553389918274,1.3448279402524053,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r185,I,589774,7,0.501,0.119,6.98,6,0.323,0.5655446560017356,0.3535533899182736,2.5831057525546086,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r160,I,587349,4,0.547,0.184,5.32,6,0.315,0.5666085518500896,0.42426406781192816,2.6582710587235265,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r189,I,590162,7,0.581,0.291,4.1,6,0.193,0.5680798444208828,0.6607378023178769,1.898296628734613,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r109,I,582402,4,0.608,0.226,4.56,6,0.166,0.5681761999347523,0.42426406796192817,1.895342554593055,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r144,I,485797,4,0.762,0.234,7.18,6,0.216,0.5697533488581108,0.8485281356238573,2.0542415565519017,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r49,I,476582,7,0.535,0.238,6.94,6,0.237,0.5709286983066645,0.14142135593730937,1.3784340346743966,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r35,I,375224,6,0.56,0.332,5.3,6,0.216,0.5710631942154135,0.5656854240492379,2.349076627455966,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r42,I,475903,5,0.432,0.303,5.21,6,0.157,0.5715717683135682,0.5656854239492376,2.438952818090389,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r25,I,374254,8,0.445,0.342,4.47,6,0.348,0.5721382213633024,1.395266690499944,1.836850687201149,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r92,I,480753,5,0.775,0.335,6.32,6,0.341,0.572729879370707,0.7727406598312547,2.818652858163543,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r22,I,373963,8,0.748,0.242,7.44,6,0.336,0.572776990823049,0.6313193040439452,2.6749241626890568,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r120,I,483469,6,0.656,0.147,5.38,5,0.237,0.5745851449620955,1.4142135593730951,2.79007176115932,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch3-r140,I,485409,6,0.492,0.269,7.38,6,0.15,0.57482323528271,0.5656854240492383,1.9129547347711189,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r89,I,480462,5,0.372,0.163,4.57,7,0.18,0.5752593059066357,0.3863703299156276,2.060169796101324,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r116,I,483081,7,0.461,0.246,7.73,6,0.204,0.5767137667511563,0.2828427118746191,1.723779029924455,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r11,I,472896,6,0.56,0.169,5.78,6,0.267,0.5781892299473196,0.7071067796865476,2.11386932120781,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r76,I,479201,8,0.679,0.309,5.83,5,0.338,0.5791822134585402,0.546738554876087,2.753904890957353,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-r12,I,372993,6,0.425,0.148,7.18,6,0.199,0.5795357212376513,0.42426406781192816,1.5842806535414165,cs090_fase5b_candidatas_v2.csv,True
A2-B0-C2-batch4-r126,I,584051,6,0.387,0.157,7.24,7,0.204,0.5801795236347648,1.5556349153104043,1.7601510229117197,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r41,I,475806,4,0.634,0.135,4.01,7,0.303,0.5812768890121728,0.848528135623857,7.050023659235082,cs090_fase5b_candidatas_v3.csv,False
