genealogia,seed_base,rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,K,J,noise,meandeg,kcap,seed
G2_823001,823001,A2-B0-C2-r18,C2-hibrido,III,1.0463183204194146,1.9108423048730714,1.9107179512796353,2813,2.813,14.0,0.8555,7,0.68,0.219,6.14,4,824748
G2_823001,823001,A2-B0-C2-r19,C2-hard,III,1.3655435244998495,0.8274156758376996,2.8914949581810685,2107,2.107,21.0,0.768,6,0.614,0.183,7.81,4,824845
G2_823001,823001,A2-B0-C2-r19,C2-hibrido,intermedio (sin clase clara),-1.2888777282823174,9.035385309811327,1.9663276222336357,2305,2.305,1.0,0.7435,6,0.614,0.183,7.81,4,824845
G3_156644,156644,A2-B0-C2-r0,C2-hard,III,1.0521063818079457,0.9192388136675115,3.2645333321045618,2421,2.421,20.0,0.8675,5,0.343,0.112,6.04,4,156645
G3_156644,156644,A2-B0-C2-r0,C2-hibrido,I,-1.0510900917095432,2.82842712234619,2.6756430368082085,2707,2.707,1.0,0.8445,5,0.343,0.112,6.04,4,156645
G3_156644,156644,A2-B0-C2-r1,C2-hard,III,0.7347316793761036,0.28284271187461874,1.6485751190973263,3328,3.328,14.0,0.97,7,0.429,0.278,5.13,5,156742
G3_156644,156644,A2-B0-C2-r1,C2-hibrido,II,0.4220022314808637,0.9899494915611664,2.285659550437323,4642,4.642,9.0,0.9875,7,0.429,0.278,5.13,5,156742
G3_156644,156644,A2-B0-C2-r2,C2-hard,III,0.7491985183882959,0.439822578255255,1.0161624153261775,3185,3.185,14.0,0.9645,7,0.578,0.217,4.11,5,156839
G3_156644,156644,A2-B0-C2-r2,C2-hibrido,I,0.6062727667525144,0.0,3.166485626639359,3965,3.965,11.0,0.981,7,0.578,0.217,4.11,5,156839
G3_156644,156644,A2-B0-C2-r3,C2-hard,III,0.8720295239612494,0.5656854237492379,1.0423746896530222,3214,3.214,16.0,0.938,8,0.311,0.233,6.47,5,156936
G3_156644,156644,A2-B0-C2-r3,C2-hibrido,III,0.8499460529826002,1.8384776271850236,1.5208071210119982,3740,3.74,13.0,0.9285,8,0.311,0.233,6.47,5,156936
G3_156644,156644,A2-B0-C2-r4,C2-hard,III,0.8947990234353705,0.974368021684686,1.9753411043586577,3061,3.061,16.0,0.9125,7,0.464,0.187,7.42,5,157033
G3_156644,156644,A2-B0-C2-r4,C2-hibrido,III,1.0124313370995162,0.3362949603642468,2.681152873023372,3262,3.262,14.0,0.8735,7,0.464,0.187,7.42,5,157033
G3_156644,156644,A2-B0-C2-r5,C2-hard,I,0.5953851575928518,0.14142135593730976,1.695315606030872,3936,3.936,12.0,0.9865,7,0.711,0.316,4.92,6,157130
G3_156644,156644,A2-B0-C2-r5,C2-hibrido,II,0.44557103224665806,0.28284271187461874,3.592417873607117,4802,4.802,9.0,0.99,7,0.711,0.316,4.92,6,157130
G3_156644,156644,A2-B0-C2-r6,C2-hard,I,0.6148433889954319,1.4142135593730951,1.534589807914543,4104,4.104,12.0,0.983,6,0.739,0.191,5.93,6,157227
G3_156644,156644,A2-B0-C2-r6,C2-hibrido,I,0.34108086231857626,0.4242640678119288,1.9787216067141027,5563,5.563,8.0,0.9965,6,0.739,0.191,5.93,6,157227
G3_156644,156644,A2-B0-C2-r7,C2-hard,III,0.8045182809029107,0.21213203398096425,3.5398515851676593,2632,2.632,17.0,0.9315,5,0.74,0.209,4.45,4,157324
G3_156644,156644,A2-B0-C2-r7,C2-hibrido,III,0.7549955660212819,0.8106343977275561,3.581249340993247,3494,3.494,14.0,0.9685,5,0.74,0.209,4.45,4,157324
G3_156644,156644,A2-B0-C2-r8,C2-hard,I,0.5752228307792742,0.989949491561166,2.270838293967177,4135,4.135,11.0,0.984,6,0.765,0.185,6.98,6,157421
G3_156644,156644,A2-B0-C2-r8,C2-hibrido,I,0.5605793056692229,1.414213559373095,2.4958758015260205,4887,4.887,11.0,0.981,6,0.765,0.185,6.98,6,157421
G3_156644,156644,A2-B0-C2-r9,C2-hard,III,0.8546669864186915,0.40700563855790167,2.224655081234694,3205,3.205,14.0,0.933,5,0.758,0.348,7.16,5,157518
G3_156644,156644,A2-B0-C2-r9,C2-hibrido,III,0.854511648968173,0.336294960514247,1.9940996244433655,3506,3.506,12.0,0.889,5,0.758,0.348,7.16,5,157518
G3_156644,156644,A2-B0-C2-r10,C2-hard,III,0.8303883575161113,1.5231460922095348,1.4082051676970684,3322,3.322,18.0,0.9655,5,0.312,0.269,5.75,5,157615
G3_156644,156644,A2-B0-C2-r10,C2-hibrido,III,0.7502500684426275,0.07071067804365488,1.371332684329996,3928,3.928,12.0,0.9705,5,0.312,0.269,5.75,5,157615
G3_156644,156644,A2-B0-C2-r11,C2-hard,III,0.9579260808935183,0.7071067796865476,3.5383501718827106,3025,3.025,14.0,0.8995,8,0.756,0.161,7.87,5,157712
G3_156644,156644,A2-B0-C2-r11,C2-hibrido,III,1.0257657603811767,0.6692130419402463,3.669686825933718,3243,3.243,13.0,0.84,8,0.756,0.161,7.87,5,157712
G3_156644,156644,A2-B0-C2-r12,C2-hard,III,0.9583851593596483,1.0176896338095727,1.8931535313793717,3258,3.258,18.0,0.953,8,0.408,0.133,6.29,5,157809
G3_156644,156644,A2-B0-C2-r12,C2-hibrido,III,0.7491566303671069,0.9520557536648651,2.4145721292159084,3894,3.894,12.0,0.9405,8,0.408,0.133,6.29,5,157809
