rule_id,seed,kcap,K,J,noise,meandeg,M,grado_medio,t_s
A2-B0-C2-f701-r1177,70815170,5,7,0.56,0.266,7.52,3117,3.117,1.25
A2-B0-C2-f701-r1178,70815267,6,6,0.782,0.298,7.92,3970,3.97,1.64
A2-B0-C2-f701-r1179,70815364,7,8,0.39,0.18,4.42,3993,3.993,1.66
A2-B0-C2-f701-r1180,70815461,6,6,0.416,0.238,5.32,3983,3.983,1.95
A2-B0-C2-f701-r1181,70815558,7,6,0.531,0.235,4.15,3845,3.845,1.45
A2-B0-C2-f701-r1182,70815655,6,6,0.786,0.309,6.92,4079,4.079,1.81
A2-B0-C2-f701-r1183,70815752,6,6,0.454,0.253,5.98,4054,4.054,1.49
A2-B0-C2-f701-r1184,70815849,5,5,0.346,0.17,5.08,3262,3.262,1.32
A2-B0-C2-f701-r1185,70815946,6,4,0.447,0.295,4.81,3943,3.943,1.26
A2-B0-C2-f701-r1186,70816043,5,4,0.375,0.268,5.21,3335,3.335,1.64
A2-B0-C2-f701-r1187,70816140,5,7,0.708,0.167,4.42,3316,3.316,1.57
A2-B0-C2-f701-r1188,70816237,6,7,0.648,0.17,4.88,3949,3.949,1.88
A2-B0-C2-f701-r1189,70816334,7,7,0.756,0.269,7.31,5009,5.009,1.67
A2-B0-C2-f701-r1190,70816431,6,6,0.605,0.211,5.13,3982,3.982,1.86
A2-B0-C2-f701-r1191,70816528,7,7,0.426,0.215,6.01,4669,4.669,1.33
A2-B0-C2-f701-r1192,70816625,6,7,0.384,0.329,4.42,3665,3.665,1.25
A2-B0-C2-f701-r1193,70816722,5,7,0.541,0.254,7.17,3134,3.134,1.33
A2-B0-C2-f701-r1194,70816819,7,7,0.762,0.268,5.22,4519,4.519,1.77
A2-B0-C2-f701-r1195,70816916,6,5,0.645,0.251,6.36,4125,4.125,1.97
A2-B0-C2-f701-r1196,70817013,6,5,0.656,0.332,6.91,4163,4.163,1.69
A2-B0-C2-f701-r1197,70817110,4,7,0.691,0.314,6.4,2378,2.378,1.55
A2-B0-C2-f701-r1198,70817207,5,4,0.798,0.313,7.35,3154,3.154,1.62
A2-B0-C2-f701-r1199,70817304,6,7,0.314,0.119,4.8,3783,3.783,1.2
