MU,N,S0,S_final_max,alpha,alpha_c_teorico,barrido,brazo,delta_struct,k_micro,lambda_max_G,lambda_puro,n_aristas,n_vivos_fin,persiste_puro,precision,semilla,sobrevive_finito,sobrevive_ge2,tau_final
0.01,8,1.0,9.961916228542202e-07,5.623413251903491e-06,0.04409824925923263,A_alpha,BARAJADO,0.019741973904721107,1375,4.581138830084192,-0.010050431729951664,0,0,0,float64,3,0,0,68
0.01,8,1.0,9.972314423028686e-07,5.623413251903491e-06,0.03858242537879851,A_alpha,BARAJADO,0.022411173504962096,1375,5.236067977499788,-0.010049703219597528,0,0,0,float64,4,0,0,81
0.01,8,1.0,9.963005002724458e-07,5.623413251903491e-06,0.05449538250299351,A_alpha,BARAJADO,0.017724434494167263,1375,3.7071067811865483,-0.010050356441648063,0,0,0,float64,5,0,0,57
0.01,8,1.0,9.965479673564456e-07,5.623413251903491e-06,0.05449538250299351,A_alpha,BARAJADO,0.017796732670615874,1375,3.7071067811865483,-0.010050174680145138,0,0,0,float64,6,0,0,58
0.01,8,1.0,9.968036853578442e-07,5.623413251903491e-06,0.05449538250299351,A_alpha,BARAJADO,0.01789880586369447,1375,3.707106781186549,-0.010050017038755157,0,0,0,float64,7,0,0,58
0.01,8,1.0,9.959573953790822e-07,5.623413251903491e-06,0.03944689815669394,A_alpha,BARAJADO,0.0220364836711097,1375,5.121320343559643,-0.010050596435959975,0,0,0,float64,8,0,0,79
0.01,8,1.0,9.961104382296377e-07,5.623413251903491e-06,0.05449538250299353,A_alpha,BARAJADO,0.017622397846914634,1375,3.707106781186547,-0.010050497027054383,0,0,0,float64,9,0,0,57
0.01,8,1.0,9.960684764753774e-07,5.623413251903491e-06,0.044098249259232634,A_alpha,BARAJADO,0.019832892451395513,1375,4.581138830084191,-0.010050514082984527,0,0,0,float64,10,0,0,69
0.01,8,1.0,9.97275486255998e-07,1e-05,0.050505050505050504,A_alpha,REAL,0.03291883531680808,1375,4.0,-0.010050460381957125,0,0,0,float64,1,0,0,119
0.01,8,1.0,9.965898886284238e-07,1e-05,0.04576584235575484,A_alpha,REAL,0.03300166937417231,1375,4.414213562373094,-0.010050689244122184,0,0,0,float64,2,0,0,119
0.01,8,1.0,9.97074145310647e-07,1e-05,0.04409824925923263,A_alpha,REAL,0.03510658411885237,1375,4.581138830084192,-0.01005050615829357,0,0,0,float64,3,0,0,125
0.01,8,1.0,9.990496806925616e-07,1e-05,0.03858242537879851,A_alpha,REAL,0.03985587843102145,1375,5.236067977499788,-0.01004920977686693,0,0,0,float64,4,0,0,138
0.01,8,1.0,9.974761408676796e-07,1e-05,0.05449538250299351,A_alpha,REAL,0.03151916848842675,1375,3.7071067811865483,-0.010050371985096734,0,0,0,float64,5,0,0,115
0.01,8,1.0,9.980442380958214e-07,1e-05,0.05449538250299351,A_alpha,REAL,0.031647858391461295,1375,3.7071067811865483,-0.010050048572658591,0,0,0,float64,6,0,0,115
0.01,8,1.0,9.98446075552471e-07,1e-05,0.05449538250299351,A_alpha,REAL,0.03182997933447754,1375,3.707106781186549,-0.01004976813415102,0,0,0,float64,7,0,0,116
0.01,8,1.0,9.96105347679467e-07,1e-05,0.03944689815669394,A_alpha,REAL,0.03918620184030895,1375,5.121320343559643,-0.01005079919882913,0,0,0,float64,8,0,0,136
0.01,8,1.0,9.967905777513548e-07,1e-05,0.05449538250299353,A_alpha,REAL,0.03133715936749592,1375,3.707106781186547,-0.010050622236523383,0,0,0,float64,9,0,0,114
0.01,8,1.0,9.96790439858857e-07,1e-05,0.044098249259232634,A_alpha,REAL,0.03526811127375914,1375,4.581138830084191,-0.01005065261130652,0,0,0,float64,10,0,0,126
0.01,8,1.0,9.961688299101881e-07,1e-05,0.050505050505050504,A_alpha,BARAJADO,0.032918725698148486,1375,4.0,-0.010050460853558313,0,0,0,float64,1,0,0,119
0.01,8,1.0,9.95845789255824e-07,1e-05,0.04576584235575484,A_alpha,BARAJADO,0.03300169769036461,1375,4.414213562373094,-0.010050689407012686,0,0,0,float64,2,0,0,119
0.01,8,1.0,9.96102926437709e-07,1e-05,0.04409824925923263,A_alpha,BARAJADO,0.03510648610061452,1375,4.581138830084192,-0.01005050634860987,0,0,0,float64,3,0,0,125
0.01,8,1.0,9.979525806045155e-07,1e-05,0.03858242537879851,A_alpha,BARAJADO,0.0398552717413936,1375,5.236067977499788,-0.01004921085377667,0,0,0,float64,4,0,0,138
0.01,8,1.0,9.962965311616428e-07,1e-05,0.05449538250299351,A_alpha,BARAJADO,0.03151894670770655,1375,3.7071067811865483,-0.010050372464842399,0,0,0,float64,5,0,0,115
0.01,8,1.0,9.96736634596453e-07,1e-05,0.05449538250299351,A_alpha,BARAJADO,0.03164795674101644,1375,3.7071067811865483,-0.010050049242545142,0,0,0,float64,6,0,0,115
0.01,8,1.0,9.971914897479283e-07,1e-05,0.05449538250299351,A_alpha,BARAJADO,0.03182986100154159,1375,3.707106781186549,-0.01004976891183329,0,0,0,float64,7,0,0,116
