point_id,g_level,acople,seed,dim,viable,expande,estable,diam_fin,gig_fin,corr_masa_grado_ok
63,1.0,masa,3,d1,0,0,0,2,0.176,1
63,1.0,masa,3,d2,0,0,1,3,0.997,1
63,1.0,masa,3,d3,0,0,1,4,0.997,1
63,1.0,masa,3,d4,0,0,1,2,1.0,1
63,1.0,masa,3,curv,0,0,1,3,0.997,1
60,1.0,masa,0,d1,0,0,0,2,0.207,1
60,1.0,masa,0,d2,0,0,1,4,0.979,1
60,1.0,masa,0,d3,0,0,1,2,1.0,1
60,1.0,masa,0,d4,0,0,1,3,1.0,1
60,1.0,masa,0,curv,0,0,1,4,0.994,1
68,1.0,masa,8,d1,0,0,0,2,0.164,1
68,1.0,masa,8,d2,0,0,1,3,0.99,1
68,1.0,masa,8,d3,0,0,1,4,0.997,1
68,1.0,masa,8,d4,0,0,1,3,1.0,1
68,1.0,masa,8,curv,0,0,1,2,0.994,1
67,1.0,masa,7,d1,0,0,0,3,0.277,1
67,1.0,masa,7,d2,0,0,1,4,0.986,1
67,1.0,masa,7,d3,0,0,1,3,1.0,1
67,1.0,masa,7,d4,0,0,1,3,1.0,1
67,1.0,masa,7,curv,0,0,1,4,0.997,1
69,1.0,masa,9,d1,0,0,0,2,0.367,1
69,1.0,masa,9,d2,0,0,1,3,0.979,1
69,1.0,masa,9,d3,0,0,1,3,0.997,1
69,1.0,masa,9,d4,0,0,1,2,1.0,1
69,1.0,masa,9,curv,0,0,1,4,1.0,1
65,1.0,masa,5,d1,0,0,0,3,0.223,1
65,1.0,masa,5,d2,0,0,1,4,0.986,1
65,1.0,masa,5,d3,0,0,1,4,0.997,1
65,1.0,masa,5,d4,0,0,1,3,1.0,1
65,1.0,masa,5,curv,0,0,1,4,0.994,1
64,1.0,masa,4,d1,0,0,0,2,0.16,1
64,1.0,masa,4,d2,0,0,1,4,0.986,1
64,1.0,masa,4,d3,0,0,1,3,0.997,1
64,1.0,masa,4,d4,0,0,1,3,1.0,1
64,1.0,masa,4,curv,0,0,1,3,0.997,1
61,1.0,masa,1,d1,0,0,0,3,0.324,1
61,1.0,masa,1,d2,0,0,1,3,0.993,1
61,1.0,masa,1,d3,0,0,1,3,1.0,1
61,1.0,masa,1,d4,0,0,1,2,1.0,1
61,1.0,masa,1,curv,0,0,1,3,0.992,1
66,1.0,masa,6,d1,0,0,0,2,0.301,1
66,1.0,masa,6,d2,0,0,1,4,1.0,1
66,1.0,masa,6,d3,0,0,1,3,1.0,1
66,1.0,masa,6,d4,0,0,1,3,1.0,1
66,1.0,masa,6,curv,0,0,1,3,1.0,1
71,1.0,grado,1,d1,0,0,0,2,0.324,1
71,1.0,grado,1,d2,0,0,1,2,1.0,1
71,1.0,grado,1,d3,0,0,1,3,1.0,1
71,1.0,grado,1,d4,0,0,1,2,1.0,1
71,1.0,grado,1,curv,0,0,1,2,1.0,1
70,1.0,grado,0,d1,0,0,0,2,0.191,1
70,1.0,grado,0,d2,0,0,1,3,0.993,1
70,1.0,grado,0,d3,0,0,1,2,1.0,1
70,1.0,grado,0,d4,0,0,1,2,1.0,1
70,1.0,grado,0,curv,0,0,1,2,0.994,1
73,1.0,grado,3,d1,0,0,0,5,0.266,1
73,1.0,grado,3,d2,0,0,1,3,1.0,1
73,1.0,grado,3,d3,0,0,1,3,1.0,1
73,1.0,grado,3,d4,0,0,1,3,1.0,1
73,1.0,grado,3,curv,0,0,1,2,1.0,1
72,1.0,grado,2,d1,0,0,0,3,0.258,1
72,1.0,grado,2,d2,0,0,1,3,0.993,1
72,1.0,grado,2,d3,0,0,1,3,1.0,1
72,1.0,grado,2,d4,0,0,1,2,1.0,1
72,1.0,grado,2,curv,0,0,1,3,1.0,1
76,1.0,grado,6,d1,0,0,0,3,0.277,1
76,1.0,grado,6,d2,0,0,1,3,1.0,1
76,1.0,grado,6,d3,0,0,1,2,1.0,1
76,1.0,grado,6,d4,0,0,1,2,1.0,1
76,1.0,grado,6,curv,0,0,1,3,1.0,1
74,1.0,grado,4,d1,0,0,0,3,0.289,1
74,1.0,grado,4,d2,0,0,1,3,0.997,1
74,1.0,grado,4,d3,0,0,1,3,1.0,1
74,1.0,grado,4,d4,0,0,1,2,1.0,1
74,1.0,grado,4,curv,0,0,1,3,0.997,1
78,1.0,grado,8,d1,0,0,0,2,0.211,1
78,1.0,grado,8,d2,0,0,1,3,0.997,1
78,1.0,grado,8,d3,0,0,1,2,1.0,1
78,1.0,grado,8,d4,0,0,1,3,1.0,1
78,1.0,grado,8,curv,0,0,1,3,1.0,1
77,1.0,grado,7,d1,0,0,0,2,0.293,1
77,1.0,grado,7,d2,0,0,1,3,0.997,1
77,1.0,grado,7,d3,0,0,1,3,0.997,1
77,1.0,grado,7,d4,0,0,1,3,1.0,1
77,1.0,grado,7,curv,0,0,1,3,0.997,1
79,1.0,grado,9,d1,0,0,0,2,0.305,1
79,1.0,grado,9,d2,0,0,1,3,0.997,1
79,1.0,grado,9,d3,0,0,1,3,1.0,1
79,1.0,grado,9,d4,0,0,1,2,1.0,1
79,1.0,grado,9,curv,0,0,1,2,0.997,1
75,1.0,grado,5,d1,0,0,1,5,0.961,1
75,1.0,grado,5,d2,0,0,1,3,1.0,1
75,1.0,grado,5,d3,0,0,1,3,1.0,1
75,1.0,grado,5,d4,0,0,1,2,1.0,1
75,1.0,grado,5,curv,0,0,1,3,1.0,1
84,1.0,null,4,d1,0,0,0,1,0.172,1
84,1.0,null,4,d2,0,0,1,4,0.997,1
84,1.0,null,4,d3,0,0,1,4,0.997,1
84,1.0,null,4,d4,0,0,1,2,1.0,1
84,1.0,null,4,curv,0,0,1,3,0.994,1
81,1.0,null,1,d1,0,0,0,2,0.18,1
81,1.0,null,1,d2,0,0,1,3,0.993,1
81,1.0,null,1,d3,0,0,1,3,0.997,1
81,1.0,null,1,d4,0,0,1,3,1.0,1
81,1.0,null,1,curv,0,0,1,3,0.994,1
83,1.0,null,3,d1,0,0,0,4,0.203,1
83,1.0,null,3,d2,0,0,1,3,1.0,1
83,1.0,null,3,d3,0,0,1,3,1.0,1
83,1.0,null,3,d4,0,0,1,3,1.0,1
83,1.0,null,3,curv,0,0,1,3,0.983,1
80,1.0,null,0,d1,0,0,0,2,0.43,1
80,1.0,null,0,d2,0,0,1,3,0.983,1
80,1.0,null,0,d3,0,0,1,3,1.0,1
80,1.0,null,0,d4,0,0,1,3,0.996,1
80,1.0,null,0,curv,0,0,1,3,0.989,1
82,1.0,null,2,d1,0,0,0,2,0.223,1
82,1.0,null,2,d2,0,0,1,4,0.997,1
82,1.0,null,2,d3,0,0,1,3,1.0,1
82,1.0,null,2,d4,0,0,1,3,1.0,1
82,1.0,null,2,curv,0,0,1,3,0.983,1
85,1.0,null,5,d1,0,0,0,1,0.156,1
85,1.0,null,5,d2,0,0,1,4,1.0,1
85,1.0,null,5,d3,0,0,1,3,1.0,1
85,1.0,null,5,d4,0,0,1,2,1.0,1
85,1.0,null,5,curv,0,0,1,4,0.992,1
86,1.0,null,6,d1,0,0,0,2,0.406,1
86,1.0,null,6,d2,0,0,1,5,1.0,1
86,1.0,null,6,d3,0,0,1,4,1.0,1
86,1.0,null,6,d4,0,0,1,3,1.0,1
86,1.0,null,6,curv,0,0,1,3,0.989,1
87,1.0,null,7,d1,0,0,0,4,0.262,1
87,1.0,null,7,d2,0,0,1,4,0.983,1
87,1.0,null,7,d3,0,0,1,3,1.0,1
87,1.0,null,7,d4,0,0,1,4,1.0,1
87,1.0,null,7,curv,0,0,1,5,0.994,1
88,1.0,null,8,d1,0,0,0,3,0.207,1
88,1.0,null,8,d2,0,0,1,4,0.997,1
88,1.0,null,8,d3,0,0,1,3,1.0,1
88,1.0,null,8,d4,0,0,1,2,1.0,1
88,1.0,null,8,curv,0,0,1,3,0.992,1
89,1.0,null,9,d1,0,0,0,3,0.172,1
89,1.0,null,9,d2,0,0,1,4,0.983,1
89,1.0,null,9,d3,0,0,1,3,0.997,1
89,1.0,null,9,d4,0,0,1,3,1.0,1
89,1.0,null,9,curv,0,0,1,3,0.992,1
