patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
34,66202,1500,local_barajado,6,8,3.266,0.054,1,4.819,1,1.095,0.907,14.952,0.0937,5,20
34,66202,1500,local_marco_congelado,6,8,3.79,0.024,0,7.966,0,0.982,0.907,15.696,0.3372,7,20
36,66208,1500,local,6,8,3.495,0.033,2,4.715,1,0.891,0.915,15.539,0.3432,8,20
36,66208,1500,sin_local,-1,8,4.984,0.052,1,4.7,1,0.963,0.908,51.717,0.0894,3,17
36,66208,1500,local_barajado,6,8,3.261,0.056,1,4.698,1,0.947,0.907,14.957,0.0863,5,20
36,66208,1500,local_marco_congelado,6,8,3.716,0.034,0,7.958,0,0.991,0.899,15.781,0.3281,6,20
37,66211,1500,local,6,8,3.082,0.025,1,5.624,1,1.032,0.907,15.355,0.3522,7,20
37,66211,1500,sin_local,-1,8,4.129,0.053,2,5.096,1,0.962,0.894,49.043,0.091,3,17
37,66211,1500,local_barajado,6,8,3.377,0.053,1,5.006,1,1.03,0.907,15.189,0.0959,6,20
37,66211,1500,local_marco_congelado,6,8,3.405,0.036,0,7.952,0,0.971,0.907,15.309,0.3322,7,20
38,66214,1500,local,6,8,3.211,0.043,1,5.259,1,0.847,0.912,15.384,0.3562,7,20
38,66214,1500,sin_local,-1,8,4.719,0.05,1,3.607,1,1.038,0.917,50.712,0.0934,4,17
38,66214,1500,local_barajado,6,8,3.246,0.054,1,5.468,1,1.011,0.909,15.064,0.0933,6,20
38,66214,1500,local_marco_congelado,6,8,3.345,0.036,0,7.967,0,1.078,0.915,15.728,0.3394,7,20
39,66217,1500,local,6,8,3.72,0.024,1,5.567,1,0.81,0.9,15.448,0.3441,7,20
39,66217,1500,sin_local,-1,8,4.861,0.046,3,5.283,1,1.034,0.922,53.4,0.0853,3,17
39,66217,1500,local_barajado,6,8,3.287,0.057,1,4.76,1,1.239,0.899,14.832,0.0922,6,20
39,66217,1500,local_marco_congelado,6,8,3.158,0.04,0,7.976,0,1.092,0.913,15.563,0.3373,7,20
