cfg_id,q,gigante_real,ncomp_real,gigante_null,ncomp_null
FASE09,0.55,0.2545777383198313,651,0.16945954943957386,747
FASE09,0.6,0.8205493387589013,387,0.6571719226856562,441
FASE09,0.65,0.9356747112404921,217,0.9063761855573294,246
FASE09,0.7,0.9798587496730317,132,0.9762838957188944,113
FASE09,0.75,0.9894205729166666,77,0.9930826822916666,47
FASE09,0.8,0.9953459983215076,49,0.998092622262913,15
FASE09,0.85,0.9986356455550769,17,0.9997845756139595,4
FASE09,0.9,0.9994574432010851,9,0.9999321804001357,2
FASE09,0.95,0.9999357491647392,2,1.0,1
RD00,0.05,0.014634146341463415,95,0.004878048780487805,734
RD00,0.1,0.014032946918852958,96,0.0036607687614399025,1340
RD00,0.15,0.01708706265256306,95,0.0024410089503661514,1774
RD00,0.2,0.018919743667989014,96,0.003967043027158987,2020
RD00,0.25,0.0185546875,97,0.00390625,2123
RD00,0.3,0.018311291963377416,97,0.004476093591047813,2134
RD00,0.35,0.01865736704446382,98,0.0071490845684394075,1985
RD00,0.4,0.030363137015563015,96,0.007934086054317974,1780
RD00,0.45,0.030516750305167505,97,0.0191238301912383,1474
RD00,0.5,0.0526123046875,94,0.0216064453125,1138
RD00,0.55,0.05249139940073244,90,0.1288425258017978,764
RD00,0.6,0.11841302136317396,74,0.5574771108850458,450
RD00,0.65,0.2702601183209691,44,0.9167996995023007,273
RD00,0.7,0.8072194611561601,23,0.9783764931554626,140
RD00,0.75,0.9521484375,12,0.9912109375,75
RD00,0.8,0.9926756694895857,5,0.9973296711680781,29
RD00,0.85,0.9994973430992389,2,0.9992819187131984,9
RD00,0.9,1.0,1,0.9998643608002713,3
RD00,0.95,1.0,1,1.0,1
RD02,0.05,0.01951219512195122,150,0.006097560975609756,742
RD02,0.1,0.04575960951799878,92,0.003050640634533252,1316
RD02,0.15,0.06631407648494711,84,0.0032546786004882017,1747
RD02,0.2,0.07598413182789136,92,0.003051571559353067,2011
RD02,0.25,0.0791015625,59,0.00439453125,2159
RD02,0.3,0.47894201424211597,14,0.006510681586978637,2128
RD02,0.35,0.7585004359197908,5,0.01098517872711421,1967
RD02,0.4,0.9778761061946902,2,0.015257857796765334,1732
RD02,0.45,0.9774854197748541,2,0.022650210226502102,1455
RD02,0.5,0.976806640625,3,0.02490234375,1134
RD02,0.55,0.9770280767950283,3,0.11508156697369881,795
RD02,0.6,0.9757884028484232,3,0.7361139369277722,478
RD02,0.65,0.9996243778758569,3,0.9270354023852004,276
RD02,0.7,0.9992152759612869,3,0.9812538146307438,133
RD02,0.75,0.9990234375,3,0.9942220052083334,63
RD02,0.8,0.9987792782482643,3,0.997940032043946,21
RD02,0.85,0.998276604911676,3,0.999138302455838,10
RD02,0.9,0.9979654120040692,3,0.9999321804001357,2
RD02,0.95,1.0,1,1.0,1
RD03,0.05,0.018292682926829267,173,0.004878048780487805,741
RD03,0.1,0.04392922513727883,100,0.004881025015253203,1327
RD03,0.15,0.08258746948738813,64,0.0040683482506102524,1749
RD03,0.2,0.08117180347879158,53,0.0042722001830942935,1990
RD03,0.25,0.07861328125,46,0.005615234375,2081
RD03,0.3,0.23072227873855544,23,0.006510681586978637,2093
RD03,0.35,0.4857890148212729,10,0.007323452484742807,1941
RD03,0.4,0.4856576136710406,9,0.007934086054317974,1722
RD03,0.45,0.48541977485419774,9,0.0188525701885257,1429
RD03,0.5,0.4837646484375,9,0.02392578125,1065
RD03,0.55,0.48263233825324603,9,0.09255354566640772,741
RD03,0.6,0.4841302136317396,9,0.5880976602238047,461
RD03,0.65,0.4842708235515072,8,0.9165179829091934,272
RD03,0.7,0.48443630656552444,8,0.9748016392013253,151
RD03,0.75,0.4847819010416667,8,0.990966796875,71
RD03,0.8,0.8005645838101778,3,0.9971007858396277,26
RD03,0.85,1.0,1,0.9986356455550769,8
RD03,0.9,1.0,1,0.9998643608002713,3
RD03,0.95,1.0,1,1.0,1
RD04,0.05,0.025609756097560974,167,0.003658536585365854,738
RD04,0.1,0.024405125076266018,192,0.004270896888346553,1313
RD04,0.15,0.07323026851098453,85,0.0032546786004882017,1732
RD04,0.2,0.07171193164479707,47,0.003051571559353067,2004
RD04,0.25,0.07275390625,44,0.00439453125,2091
RD04,0.3,0.07385554425228891,44,0.004476093591047813,2078
RD04,0.35,0.07428073234524847,43,0.005405405405405406,1971
RD04,0.4,0.0729325602685383,43,0.008544400366188587,1774
RD04,0.45,0.07391835073918351,43,0.014783670147836702,1482
RD04,0.5,0.0723876953125,43,0.0283203125,1129
RD04,0.55,0.07246698479636,44,0.10287426478748196,750
RD04,0.6,0.07192268565615463,42,0.5162767039674466,433
RD04,0.65,0.07089867593201239,40,0.9383040661094938,240
RD04,0.7,0.31284331676693694,20,0.9788124509547476,141
RD04,0.75,0.9180501302083334,9,0.9915364583333334,70
RD04,0.8,0.9997711146715496,2,0.9973296711680781,32
RD04,0.85,0.9997845756139595,2,0.9989228780697975,14
RD04,0.9,0.999796541200407,2,1.0,1
RD04,0.95,1.0,1,1.0,1
RD06,0.05,0.014634146341463415,93,0.004878048780487805,740
RD06,0.1,0.014032946918852958,93,0.0036607687614399025,1314
RD06,0.15,0.013425549227013833,94,0.0028478437754271765,1749
RD06,0.2,0.01281660054928288,94,0.00366188587122368,2008
RD06,0.25,0.020751953125,94,0.00390625,2139
RD06,0.3,0.021566632756866735,95,0.00590030518819939,2125
RD06,0.35,0.021621621621621623,95,0.00889276373147341,2008
RD06,0.4,0.021208422337503814,97,0.0091547146780592,1803
RD06,0.45,0.0211582802115828,99,0.016139970161399703,1512
RD06,0.5,0.0201416015625,98,0.025634765625,1157
RD06,0.55,0.03484629896792809,89,0.06469870158694928,785
RD06,0.6,0.11434384537131231,71,0.7555442522889115,427
RD06,0.65,0.22349516386515167,41,0.9421541928819608,216
RD06,0.7,0.8485482605283808,16,0.9764582788386085,121
RD06,0.75,0.9764811197916666,3,0.9945475260416666,46
RD06,0.8,0.9999237048905165,2,0.9984740978103304,18
RD06,0.85,0.9990664943271579,14,0.9997845756139595,4
RD06,0.9,0.9991183452017633,13,0.9999321804001357,2
RD06,0.95,0.9981367257774351,21,1.0,1
