patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
41,84637,1500,null_tipos,nematico,4.896,0.048,1,3.406,1,0.747,0.907,3,17
41,84637,1500,null_marco,nematico,4.014,0.051,0,7.97,0,0.906,0.909,3,17
41,84637,1500,null_mediado,nematico,5.107,0.048,1,4.949,1,0.795,0.905,3,17
41,84637,1500,subconjunto,nematico,3.952,0.052,0,7.964,0,0.815,0.916,3,16
42,86701,1500,completo,nematico,5.007,0.054,1,3.911,1,0.824,0.905,3,17
42,86701,1500,null_tipos,nematico,4.834,0.054,2,4.642,1,0.825,0.904,4,17
42,86701,1500,null_marco,nematico,nan,0.051,0,7.97,0,0.853,0.901,3,17
42,86701,1500,null_mediado,nematico,4.929,0.053,2,4.953,1,0.928,0.913,3,17
42,86701,1500,subconjunto,nematico,nan,0.051,0,7.969,0,0.972,0.924,3,16
43,88765,1500,completo,nematico,4.833,0.053,1,4.198,1,0.777,0.915,3,17
43,88765,1500,null_tipos,nematico,4.595,0.05,1,2.879,1,1.089,0.912,3,17
43,88765,1500,null_marco,nematico,4.795,0.049,0,7.96,0,0.919,0.908,3,17
43,88765,1500,null_mediado,nematico,4.915,0.052,1,4.786,1,0.845,0.915,4,17
43,88765,1500,subconjunto,nematico,4.563,0.056,0,7.966,0,0.923,0.925,4,16
44,90829,1500,completo,nematico,nan,0.043,1,4.334,1,0.801,0.924,3,17
44,90829,1500,null_tipos,nematico,4.798,0.048,2,4.784,1,0.851,0.899,3,17
44,90829,1500,null_marco,nematico,nan,0.051,0,7.958,0,0.874,0.909,4,17
44,90829,1500,null_mediado,nematico,4.896,0.051,1,4.404,1,0.894,0.893,3,17
44,90829,1500,subconjunto,nematico,4.75,0.049,0,7.962,0,0.958,0.921,3,16
45,92893,1500,completo,nematico,nan,0.04,2,3.645,1,0.778,0.923,3,17
45,92893,1500,null_tipos,nematico,4.682,0.053,1,4.79,1,0.892,0.909,4,17
45,92893,1500,null_marco,nematico,4.9,0.047,0,7.952,0,0.941,0.922,4,16
45,92893,1500,null_mediado,nematico,4.765,0.047,1,4.293,1,0.931,0.902,4,17
45,92893,1500,subconjunto,nematico,4.528,0.057,0,7.966,0,0.87,0.927,4,16
46,94957,1500,completo,nematico,5.083,0.044,1,3.983,1,1.012,0.9,4,17
