var_a,var_b,n,spearman,pearson,abs_spearman
gini_tri_nodo,pendiente_nativa,252,-0.2654029068420737,-0.40532337601020973,0.2654029068420737
frac_mayor_comp_tri,pendiente_nativa,252,-0.2647031902537254,-0.0017209296184747655,0.2647031902537254
n_comp_tri,diam,252,0.2566406320976565,0.3409011396687073,0.2566406320976565
n_comp_tri_arista,diam,252,0.2532984607614196,0.34414746743365765,0.2532984607614196
frac_nodos_en_triangulo,pendiente_nativa,254,0.23492714611549342,0.3711476880271323,0.23492714611549342
tri_ar_p99_sop,clustering,252,0.2340954747809626,0.18180792228287515,0.2340954747809626
frac_mayor_comp_tri,diam,252,-0.22327073356094093,-0.006252956371975811,0.22327073356094093
n_triangulos,diam,254,0.219109164322658,0.3041670226869307,0.219109164322658
tri_por_nodo_max,asortatividad,254,0.21658202104459032,0.27332218823071863,0.21658202104459032
n_comp_tri,grado_medio,252,-0.20579610867501602,-0.23409320420561483,0.20579610867501602
n_comp_tri_arista,grado_medio,252,-0.20221349759265966,-0.2385969224917149,0.20221349759265966
asortatividad,diam,254,0.20054780456975765,0.0904975424059583,0.20054780456975765
n_comp_tri_arista,n_aristas,252,-0.18561854868858355,-0.18180783499968065,0.18561854868858355
n_comp_tri,n_aristas,252,-0.18496668051477497,-0.1683755492562975,0.18496668051477497
frac_mayor_comp_tri,grado_medio,252,0.18186037368335733,-0.0698808634800599,0.18186037368335733
gini_tri_nodo,diam,252,-0.17679111224378533,-0.2740251617688121,0.17679111224378533
gini_tri_nodo,grado_medio,252,0.17309294099740707,0.2090626581524173,0.17309294099740707
n_triangulos,grado_medio,254,-0.1694725660923823,-0.2057831509978549,0.1694725660923823
tri_ar_max,frac_mayor_comp_tri,252,-0.16686172287476939,-0.13641754932260555,0.16686172287476939
tri_ar_max,asortatividad,254,0.16372602981804543,0.2138727950405911,0.16372602981804543
tam_medio_comp_tri,asortatividad,252,0.1603639864042295,0.18598137725506303,0.1603639864042295
n_triangulos,n_aristas,254,-0.15775756729906842,-0.1628682137300351,0.15775756729906842
frac_mayor_comp_tri,n_aristas,252,0.1499033547261533,-0.030874074111398666,0.1499033547261533
frac_nodos_en_triangulo,diam,254,0.14957634323366217,0.24345483698968448,0.14957634323366217
frac_nodos_en_triangulo,grado_medio,254,-0.14433233494030212,-0.18297897277266917,0.14433233494030212
tri_ar_media_sop,asortatividad,252,0.1342582806779542,0.15649645578527785,0.1342582806779542
frac_aristas_multi_tri,asortatividad,252,0.13133852696559012,0.14613936528167715,0.13133852696559012
tri_por_nodo_max,dist_media_tri,249,0.1158468809218883,0.11999302603427643,0.1158468809218883
tri_por_nodo_max,frac_mayor_comp_tri,252,-0.10615236935963195,-0.15394061737299292,0.10615236935963195
tam_medio_comp_tri,n_aristas,252,-0.10437917019978785,-0.10472946502556983,0.10437917019978785
tri_ar_p99_sop,asortatividad,252,0.09840692977080515,0.14964703571533344,0.09840692977080515
tam_medio_comp_tri,pendiente_nativa,252,0.09468419670062718,0.09095365362133963,0.09468419670062718
tri_por_nodo_max,giant,254,-0.09348097746260349,-0.16106729941345574,0.09348097746260349
tam_medio_comp_tri,giant,252,-0.09246652502516989,-0.1302261638997618,0.09246652502516989
giant,asortatividad,254,-0.08224038725260915,0.1316759923266098,0.08224038725260915
tri_por_nodo_max,pendiente_nativa,254,0.081712880278216,0.07532626208885695,0.081712880278216
tam_medio_comp_tri,dist_media_tri,249,0.08070338758394908,0.05494978274949749,0.08070338758394908
grado_medio,asortatividad,254,-0.07944441017694893,-0.05527005902237897,0.07944441017694893
frac_aristas_multi_tri,frac_mayor_comp_tri,252,-0.07922149336310817,-0.04364519342113111,0.07922149336310817
tri_ar_p99_sop,diam,252,-0.07853427406312262,-0.06722913411508623,0.07853427406312262
tri_ar_media_sop,frac_mayor_comp_tri,252,-0.07847996828769396,-0.03415406071884668,0.07847996828769396
tri_ar_p99_sop,grado_medio,252,0.07824553801379824,0.10584060422716514,0.07824553801379824
asortatividad,pendiente_nativa,254,0.0713597352002109,-0.03884824124038631,0.0713597352002109
tam_medio_comp_tri,diam,252,0.06819198953211021,0.054627518576073515,0.06819198953211021
tri_por_nodo_max,diam,254,0.064153059751963,0.05308565068475819,0.064153059751963
tri_ar_media_sop,grado_medio,252,0.06322029077204579,0.11692677011162747,0.06322029077204579
frac_aristas_multi_tri,grado_medio,252,0.06224002981801092,0.11282932886029243,0.06224002981801092
tri_por_nodo_max,n_aristas,254,-0.05766604570161104,-0.0269990931768492,0.05766604570161104
tri_ar_media_sop,diam,252,-0.04678059637449559,-0.05747566937608817,0.04678059637449559
tri_ar_max,grado_medio,254,0.046457998689575876,0.10593280175663453,0.046457998689575876
frac_aristas_multi_tri,diam,252,-0.04546765857735649,-0.05070300464859743,0.04546765857735649
