rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio
A2-B0-C2-batch3-r102,II,481723,5,0.551,0.291,6.63,6,0.246,0.4373348365364099,0.6692130417902463,1.9897703496295578
A2-B0-C2-batch3-r103,I,481820,4,0.609,0.34,7.64,6,0.254,0.5456718771984358,0.7071067796865472,1.7142554933038112
A2-B0-C2-batch3-r104,I,481917,6,0.41,0.11,5.38,5,0.162,0.6941227678174907,0.9141620157685637,1.7793623158017748
A2-B0-C2-batch3-r105,I,482014,5,0.412,0.177,6.41,6,0.327,0.5339161350028938,0.5656854238992377,1.967348308461732
A2-B0-C2-batch3-r106,III,482111,7,0.424,0.145,6.89,5,0.154,0.7704864777940506,0.527791685852937,2.4270955561999568
A2-B0-C2-batch3-r107,I,482208,6,0.643,0.335,6.46,5,0.273,0.6304170393073871,0.8123113575551025,1.5881857169675335
A2-B0-C2-batch3-r108,III,482305,6,0.557,0.129,4.23,5,0.32,0.7543239666190528,1.0261203506136134,1.491554361515084
A2-B0-C2-batch3-r109,I,482402,4,0.728,0.19,6.42,6,0.269,0.6275014418510246,0.7071067796865472,3.5742757438057486
A2-B0-C2-batch3-r110,III,482499,4,0.401,0.174,4.54,5,0.249,0.7021199197615989,0.5615402736538557,2.3567830428663976
A2-B0-C2-batch3-r111,III,482596,6,0.465,0.345,7.52,5,0.332,0.9051550092250917,0.9899494915611664,1.5556221623797368
A2-B0-C2-batch3-r112,I,482693,6,0.64,0.311,4.4,5,0.241,0.6484796743138357,0.8640866460671834,1.8788177535548516
A2-B0-C2-batch3-r113,I,482790,6,0.306,0.284,7.11,6,0.291,0.5554576065377815,0.4242640678119285,1.6878288073986778
A2-B0-C2-batch3-r114,III,482887,6,0.749,0.209,7.44,6,0.279,0.7685330652018255,0.848528135623857,2.216203230322878
A2-B0-C2-batch3-r115,I,482984,5,0.604,0.192,6.56,6,0.251,0.5238393492640737,0.14142135593730937,2.708170487622443
A2-B0-C2-batch3-r116,I,483081,7,0.461,0.246,7.73,6,0.204,0.5767137667511563,0.2828427118746191,1.723779029924455
A2-B0-C2-batch3-r117,I,483178,5,0.442,0.291,4.39,6,0.243,0.6115898111016562,0.3518534706575732,1.165979043631774
A2-B0-C2-batch3-r118,III,483275,5,0.722,0.173,6.71,5,0.349,0.8739909750826472,1.8384776271850236,4.3357563527248155
A2-B0-C2-batch3-r119,I,483372,7,0.544,0.242,4.42,6,0.205,0.6578375245852051,0.5656854237492379,1.453226775146175
A2-B0-C2-batch3-r120,I,483469,6,0.656,0.147,5.38,5,0.237,0.5745851449620955,1.4142135593730951,2.79007176115932
A2-B0-C2-batch3-r121,III,483566,6,0.706,0.155,7.08,5,0.283,0.8715210722283483,0.8639996877047871,2.1690679477803454
A2-B0-C2-batch3-r122,III,483663,6,0.532,0.188,7.24,4,0.281,1.3464688362548458,1.0289022107293735,2.6361057363639118
A2-B0-C2-batch3-r123,III,483760,5,0.706,0.325,6.77,5,0.276,0.7646999396646018,1.0555833717058731,2.0350328462736917
A2-B0-C2-batch3-r124,III,483857,7,0.492,0.174,6.97,5,0.192,0.7074139118306781,0.7778174577302022,2.353314410287696
A2-B0-C2-batch3-r125,I,483954,5,0.659,0.242,7.15,6,0.305,0.5625958561744474,0.5656854237492379,2.58429431945463
A2-B0-C2-batch3-r126,III,484051,4,0.739,0.287,7.23,5,0.185,0.7774706312540884,0.7618015587720375,2.3736479669389516
A2-B0-C2-batch3-r127,III,484148,6,0.36,0.34,4.38,5,0.163,0.8332004479312966,0.28284271207461886,1.4405913764543594
A2-B0-C2-batch3-r128,I,484245,7,0.366,0.108,4.21,6,0.297,0.6820202411953517,0.47770483650997947,1.9434469194328023
A2-B0-C2-batch3-r129,III,484342,7,0.346,0.286,6.11,5,0.262,0.7621602264260985,2.5455844068715705,1.1570837597030381
A2-B0-C2-batch3-r130,I,484439,6,0.624,0.15,6.61,6,0.323,0.603666275448031,0.28284271202461875,2.0890428716676204
A2-B0-C2-batch3-r131,III,484536,5,0.446,0.116,5.09,4,0.321,0.927683407042622,0.8337851456423999,3.459259054795601
A2-B0-C2-batch3-r132,III,484633,4,0.468,0.333,6.84,5,0.232,0.7502734613883114,0.848528135623857,1.8538121004718568
A2-B0-C2-batch3-r133,IV,484730,5,0.697,0.147,6.1,4,0.281,1.013079214568293,0.43982257825525506,5.2403637550645685
A2-B0-C2-batch3-r134,I,484827,5,0.611,0.121,5.47,7,0.291,0.5127383682520894,1.131370847498476,4.065180673053194
A2-B0-C2-batch3-r135,III,484924,5,0.703,0.198,6.86,4,0.259,1.209182281022885,1.4219493363885594,2.311780247163422
A2-B0-C2-batch3-r136,III,485021,5,0.664,0.339,7.04,5,0.16,0.7945326200640634,0.5027105218210478,2.3453234433303822
A2-B0-C2-batch3-r137,I,485118,4,0.436,0.243,4.66,7,0.251,0.4901111203335927,0.6380730611704392,3.130610263641488
A2-B0-C2-batch3-r138,I,485215,5,0.746,0.194,6.42,6,0.333,0.5823254734019663,0.9899494915611664,3.589987341809837
A2-B0-C2-batch3-r139,I,485312,6,0.605,0.281,4.16,7,0.228,0.6861283906064248,0.6363961020928924,0.3718154082961645
A2-B0-C2-batch3-r140,I,485409,6,0.492,0.269,7.38,6,0.15,0.57482323528271,0.5656854240492383,1.9129547347711189
A2-B0-C2-batch3-r141,I,485506,5,0.31,0.195,6.61,7,0.199,0.5422850469867411,0.7071067796865472,1.5210635960707222
A2-B0-C2-batch3-r142,I,485603,7,0.324,0.178,6.11,7,0.348,0.47609011836592696,0.5311685644911839,1.703496660141735
A2-B0-C2-batch3-r143,I,485700,4,0.585,0.132,6.04,5,0.232,-0.6471381266137246,2.0311854369058535,5.190362062894224
A2-B0-C2-batch3-r144,I,485797,4,0.762,0.234,7.18,6,0.216,0.5697533488581108,0.8485281356238573,2.0542415565519017
A2-B0-C2-batch3-r145,II,485894,7,0.782,0.157,7.35,7,0.302,0.352958295823385,0.5277916858529366,5.013040023139262
A2-B0-C2-batch3-r146,II,485991,7,0.335,0.276,5.0,7,0.232,0.4371028259767239,0.5501039535727573,1.0529922368197822
A2-B0-C2-batch3-r147,I,486088,6,0.784,0.209,4.91,6,0.163,0.674507403259731,1.0555833717058736,1.5682310223130944
