rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final,pendiente_real,z_agg,holon_ratio
A2-B0-C2-r0,342,16,0.19,4.0,0.9093567251461988,0.7150134156939344,1854,24,4.0,1e-09,1.2636660605642511,A2,B0,C2,III,0.722456858582056,0.9209157730450587,1.7673319588526024
A2-B0-C2-r1,2000,1,0.04,14.0,0.959,0.8748014838606039,3387,51,14.0,1.4142135633730952,1.1538502932949208,A2,B0,C2,III,0.7440775234439412,0.527791685852937,1.3189852950441294
A2-B0-C2-r1,1174,2,0.16,9.0,0.9327086882453152,0.8748014838606039,2547,51,10.0,0.816496581927726,1.1538502932949208,A2,B0,C2,III,0.7440775234439412,0.527791685852937,1.3189852950441294
A2-B0-C2-r1,755,4,0.24,6.0,0.895364238410596,0.8748014838606039,2118,51,6.666666666666667,0.4714045217910317,1.1538502932949208,A2,B0,C2,III,0.7440775234439412,0.527791685852937,1.3189852950441294
A2-B0-C2-r1,507,8,0.3,5.0,0.8441814595660749,0.8748014838606039,1833,51,5.0,1e-09,1.1538502932949208,A2,B0,C2,III,0.7440775234439412,0.527791685852937,1.3189852950441294
A2-B0-C2-r1,375,16,0.35,4.0,0.7893333333333333,0.8748014838606039,1594,51,4.0,1e-09,1.1538502932949208,A2,B0,C2,III,0.7440775234439412,0.527791685852937,1.3189852950441294
A2-B0-C2-r2,2000,1,0.03,19.0,0.923,0.44643412283791967,2606,15,16.333333333333332,0.4714045217910317,1.8873585998841582,A2,B0,C2,III,0.9127765177222188,2.2525880993490572,4.2276306924893685
A2-B0-C2-r2,1202,2,0.08,15.0,0.8901830282861897,0.44643412283791967,1801,15,12.0,0.816496581927726,1.8873585998841582,A2,B0,C2,III,0.9127765177222188,2.2525880993490572,4.2276306924893685
A2-B0-C2-r2,780,4,0.13,9.0,0.8384615384615385,0.44643412283791967,1375,15,8.0,0.816496581927726,1.8873585998841582,A2,B0,C2,III,0.9127765177222188,2.2525880993490572,4.2276306924893685
A2-B0-C2-r2,538,8,0.17,6.0,0.7676579925650557,0.44643412283791967,1117,15,6.333333333333333,0.4714045217910317,1.8873585998841582,A2,B0,C2,III,0.9127765177222188,2.2525880993490572,4.2276306924893685
A2-B0-C2-r2,427,16,0.22,5.0,0.7072599531615925,0.44643412283791967,971,15,5.0,1e-09,1.8873585998841582,A2,B0,C2,III,0.9127765177222188,2.2525880993490572,4.2276306924893685
A2-B0-C2-r3,2000,1,0.03,10.0,0.9825,0.35821392514859207,4021,36,11.666666666666666,0.4714045217910317,1.032606136577928,A2,B0,C2,I,0.4893766436859014,1.1313708474984758,2.88265213628864
A2-B0-C2-r3,1146,2,0.08,7.0,0.9703315881326352,0.35821392514859207,3161,36,7.666666666666667,0.4714045217910317,1.032606136577928,A2,B0,C2,I,0.4893766436859014,1.1313708474984758,2.88265213628864
A2-B0-C2-r3,688,4,0.13,6.0,0.9505813953488372,0.35821392514859207,2685,36,5.666666666666667,0.4714045217910317,1.032606136577928,A2,B0,C2,I,0.4893766436859014,1.1313708474984758,2.88265213628864
A2-B0-C2-r3,461,8,0.17,5.0,0.9262472885032538,0.35821392514859207,2392,36,5.0,1e-09,1.032606136577928,A2,B0,C2,I,0.4893766436859014,1.1313708474984758,2.88265213628864
A2-B0-C2-r3,349,16,0.22,4.0,0.9025787965616046,0.35821392514859207,2094,36,4.0,1e-09,1.032606136577928,A2,B0,C2,I,0.4893766436859014,1.1313708474984758,2.88265213628864
A2-B0-C2-r4,2000,1,0.04,10.0,0.9935,0.5621894700213215,4651,54,9.333333333333334,0.4714045217910317,1.4264173866883991,A2,B0,C2,I,0.49104344897799523,1.2727922034357855,2.537253831229356
A2-B0-C2-r4,1126,2,0.12,8.0,0.9893428063943162,0.5621894700213215,3771,54,6.333333333333333,0.4714045217910317,1.4264173866883991,A2,B0,C2,I,0.49104344897799523,1.2727922034357855,2.537253831229356
