archivo,carpeta,N,E,cv_pi_r2a5,b_medio_r2a5,pi_r2,pi_r5,pi_max
A2-B0-C2-batch3-r112__s482693__unico__N2000.grafo.gz,F5B_40pares,2000,3233,0.7242,2.7437,2.408,18.997,40.031
A2-B0-C2-batch3-r108__s482305__unico__N2000.grafo.gz,F5B_40pares,2000,3245,0.7279,2.7427,2.4,18.898,39.731
A2-B0-C2-batch4-r43__s576000__unico__N2000.grafo.gz,F5B_40pares,2000,3269,0.7279,2.7433,2.446,19.742,39.148
A2-B0-C2-mec-r9__s91085__c1-rigido-soporte__N2000.grafo.gz,O3C_factorial,2000,5195,0.7295,3.8976,6.721,90.452,90.452
A2-B0-C2-o3e-s477455-nomem__s477455__nomem__N2000.grafo.gz,O3E_memoria,2000,3230,0.7304,2.7802,2.254,18.123,38.514
A2-B0-C2-batch4-r38__s575515__unico__N2000.grafo.gz,F5B_40pares,2000,3296,0.7313,2.7846,2.413,19.63,40.22
A2-B0-C2-batch3-r44__s476097__unico__N2000.grafo.gz,F5B_40pares,2000,3252,0.7332,2.7382,2.342,19.143,40.973
A2-B0-C2-batch4-r118__s583275__unico__N2000.grafo.gz,OUT_pendNEG,2000,3060,0.7334,2.8009,2.458,20.76,35.377
A2-B0-C2-mec-r11__s91279__c3-elastico-soporte__N2000.grafo.gz,O3C_factorial,2000,5044,0.7339,3.8987,6.367,86.127,86.127
A2-B0-C2-batch4-r47__s576388__unico__N2000.grafo.gz,F5B_40pares,2000,3282,0.7343,2.771,2.375,19.285,40.411
A2-B0-C2-mec-r11__s91279__c2-rigido-azar__N2000.grafo.gz,O3C_factorial,2000,5273,0.735,3.9778,6.408,89.958,89.958
A2-B0-C2-mec-r11__s91279__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,4782,0.7355,3.8731,6.292,83.802,83.802
A2-B0-C2-r14__s273187__rewire__N2000.grafo.gz,O3B_rewiring,2000,3296,0.7361,2.7799,2.433,19.722,41.863
A2-B0-C2-mec-r4__s90600__c2-rigido-azar__N2000.grafo.gz,O3C_factorial,2000,5054,0.7377,3.8838,6.263,84.297,84.297
A2-B0-C2-batch3-r50__s476679__unico__N2000.grafo.gz,F5B_40pares,2000,3271,0.7386,2.7744,2.383,19.778,39.638
A2-B0-C2-kbar-r10__s9315130__regla__N2000.grafo.gz,O3D_kcap,2000,3193,0.7395,2.8451,2.575,21.97,36.067
A2-B0-C2-r2v1fix__s272023__unico__N2000.grafo.gz,F5B_40pares,2000,3057,0.7401,2.7908,2.325,19.612,35.612
A2-B0-C2-batch3-r12__s472993__unico__N2000.grafo.gz,F5B_40pares,2000,3272,0.7403,2.8078,2.446,20.605,39.311
A2-B0-C2-kbar-r11__s9315227__regla__N2000.grafo.gz,O3D_kcap,2000,3086,0.7405,2.8419,2.729,23.045,36.779
A2-B0-C2-batch4-r70__s578619__unico__N2000.grafo.gz,F5B_40pares,2000,3261,0.741,2.7173,2.15,17.757,39.419
A2-B0-C2-mec-r5__s90697__c3-elastico-soporte__N2000.grafo.gz,O3C_factorial,2000,4587,0.7413,3.8025,6.004,79.993,79.993
A2-B0-C2-kbar-r20__s9316100__regla__N2000.grafo.gz,O3D_kcap,2000,3188,0.7413,2.8332,2.592,21.517,38.469
A2-B0-C2-batch4-r1__s571926__unico__N2000.grafo.gz,F5B_40pares,2000,3224,0.7417,2.8006,2.529,21.71,37.787
A2-B0-C2-mec-r4__s90600__c1-rigido-soporte__N2000.grafo.gz,O3C_factorial,2000,5068,0.7421,3.8968,6.179,85.275,85.275
A2-B0-C2-batch3-r25__s474254__unico__N2000.grafo.gz,F5B_40pares,2000,3134,0.7431,2.8059,2.538,21.587,36.701
A2-B0-C2-batch4-r44__s576097__unico__N2000.grafo.gz,F5B_40pares,2000,3308,0.7433,2.8257,2.5,21.128,39.565
A2-B0-C2-batch3-r71__s478716__unico__N2000.grafo.gz,F5B_40pares,2000,3012,0.7434,2.8015,2.229,18.612,36.508
A2-B0-C2-o3e-s478716-mem__s478716__mem__N2000.grafo.gz,O3E_memoria,2000,3012,0.7434,2.8015,2.229,18.612,36.508
A2-B0-C2-batch4-r62__s577843__rewire__N2000.grafo.gz,O3B_rewiring,2000,3299,0.7438,2.8122,2.454,20.545,40.907
A2-B0-C2-batch4-r156__s586961__unico__N2000.grafo.gz,OUT_pendNEG,2000,3067,0.7438,2.8635,2.633,22.643,36.031
A2-B0-C2-batch4-r39__s575612__unico__N2000.grafo.gz,F5B_40pares,2000,3314,0.744,2.832,2.596,22.563,38.433
