carpeta,rule_id,seed,variante,brazo,realizacion,lote,T_objetivo,n_aristas,n_triangulos,pico_p90_med,pico_cv,pico_max_med,frac_aristas_en_triangulo,tri_por_arista_media,frac_aristas_multi_tri,gini_tri_nodo,pendiente_corregida,frac_masa,n_sumideros,kappa_v,t_primer_sumidero,n_gas_inicial,n_dump_final,clave
A2-B0-C2-r28_s374545_f803_disp2,A2-B0-C2-r28,374545,disp2,disp,2,371828,1149,3947,1149,9.80796835781969,4.12807035701534,654.0477683161852,0.7185203952368888,1.215444287729196,0.21262341325811002,0.3069429939077459,0.4882423559803219,0.10550000000000001,9,0.49253731343283574,0.039,2000,cosmog_00500,A2-B0-C2-r28_s374545
A2-B0-C2-r28_s374545_f803_solap0,A2-B0-C2-r28,374545,solap0,solap,0,371828,1149,3947,1149,25.874868830118693,4.141211460884379,1361.5512566743862,0.30098809222194073,2.9015151515151514,0.8846801346801347,0.8132740063823615,0.7280672948215678,0.1345,8,1.0721153846153837,0.029,2000,cosmog_00500,A2-B0-C2-r28_s374545
A2-B0-C2-r28_s374545_f803_solap1,A2-B0-C2-r28,374545,solap1,solap,1,371828,1149,3947,1148,22.267117577676235,4.009419008953116,852.1232548980324,0.30782873068153027,2.8345679012345677,0.8617283950617284,0.8057886178861788,0.6554235396206447,0.13399999999999998,8,0.9684684684684682,0.026,2000,cosmog_00500,A2-B0-C2-r28_s374545
A2-B0-C2-r28_s374545_f803_solap2,A2-B0-C2-r28,374545,solap2,solap,2,371828,1149,3947,1148,25.583404294453576,4.092512643045055,1125.6151713974907,0.30960222954142386,2.818330605564648,0.8657937806873978,0.8063980836236934,0.7041988522659625,0.13999999999999999,8,1.1216216216216217,0.035,2000,cosmog_00500,A2-B0-C2-r28_s374545
A2-B0-C2-r39_s375612_f803_disp0,A2-B0-C2-r39,375612,disp0,disp,0,371828,1100,4083,1099,8.31602320227304,4.266194231102048,727.9695597178845,0.6933627234876316,1.1646061462380783,0.16178028965030025,0.24964801334546557,0.5078471405345593,0.09400000000000004,8,0.540983606557377,0.036,2000,cosmog_00500,A2-B0-C2-r39_s375612
A2-B0-C2-r39_s375612_f803_disp1,A2-B0-C2-r39,375612,disp1,disp,1,371828,1100,4083,1100,7.944151378257284,4.174005670976195,600.8696400210113,0.6918932157727161,1.168141592920354,0.16707964601769912,0.2507160606060606,0.5593847951017125,0.09250000000000004,8,0.47368421052631565,0.043,2000,cosmog_00500,A2-B0-C2-r39_s375612
A2-B0-C2-r39_s375612_f803_disp2,A2-B0-C2-r39,375612,disp2,disp,2,371828,1100,4083,1100,8.818131033170355,4.223414525929385,758.8261968256952,0.6985060004898359,1.1570827489481066,0.15603085553997195,0.2463648484848485,0.5174149024186302,0.1005,8,0.6451612903225804,0.036,2000,cosmog_00500,A2-B0-C2-r39_s375612
A2-B0-C2-r39_s375612_f803_solap0,A2-B0-C2-r39,375612,solap0,solap,0,371828,1100,4083,1100,17.958003547668692,4.109307877741205,961.5826929166872,0.29414646093558655,2.7477102414654455,0.835970024979184,0.8144024242424243,0.6332570197878885,0.11200000000000002,8,0.7205882352941179,0.031,2000,cosmog_00500,A2-B0-C2-r39_s375612
A2-B0-C2-r39_s375612_f803_solap1,A2-B0-C2-r39,375612,solap1,solap,1,371828,1100,4083,1100,26.14827584792298,4.2609740546050485,1551.2469007121394,0.2909625275532697,2.7777777777777777,0.8543771043771043,0.8128381818181818,0.5481047039935583,0.12549999999999997,8,0.8823529411764706,0.032,2000,cosmog_00500,A2-B0-C2-r39_s375612
A2-B0-C2-r39_s375612_f803_solap2,A2-B0-C2-r39,375612,solap2,solap,2,371828,1100,4083,1099,28.01231383357382,4.101211235684716,1163.666886479863,0.27945138378643153,2.8895705521472395,0.8790534618755478,0.8210010615711253,0.5692514600480878,0.13399999999999998,8,1.0176211453744495,0.035,2000,cosmog_00500,A2-B0-C2-r39_s375612
