t,energia_L_baja,energia_L_alta,energia_R_baja,energia_R_alta,gradE_calc
172.5000,0.138584,0.009241,0.140046,0.024917,0.519111
173.0000,0.135928,0.000577,0.134728,0.001104,0.593576
173.5000,0.206521,0.001574,0.205670,0.001844,0.712345
174.0000,0.196172,0.011067,0.195932,0.013087,0.690152
174.5000,0.312270,0.010669,0.327035,0.015224,0.746341
175.0000,0.128736,0.000331,0.128522,0.000508,0.645372
175.5000,0.149425,0.000607,0.148887,0.000904,0.652450
176.0000,0.136661,0.004193,0.138069,0.008989,0.745385
176.5000,0.184337,0.060175,0.227631,0.122860,0.786475
177.0000,0.125301,0.000954,0.125399,0.001063,0.530100
177.5000,0.197896,0.002672,0.192143,0.006211,0.458664
178.0000,0.136187,0.000081,0.136883,0.000132,0.533602
178.5000,0.147479,0.005594,0.149135,0.008832,0.664338
179.0000,0.275505,0.000708,0.276555,0.000587,0.638838
179.5000,0.213727,0.000114,0.203644,0.000100,0.557078
180.0000,0.018023,0.127215,0.017535,0.128915,0.795103
180.5000,0.156672,0.000161,0.157204,0.000307,0.761562
181.0000,0.137650,0.072226,0.147511,0.107832,0.796702
181.5000,0.172831,0.125387,0.234500,0.125560,0.715951
182.0000,0.126564,0.000177,0.127326,0.000198,0.696735
182.5000,0.169237,0.000283,0.216258,0.000530,0.785459
183.0000,0.145027,0.000458,0.144944,0.001849,0.637470
183.5000,0.366729,0.007294,0.367442,0.008624,0.729317
184.0000,0.131244,0.000613,0.131159,0.000754,0.620534
184.5000,0.290172,0.000570,0.294304,0.000689,0.712392
185.0000,0.160137,0.006083,0.146756,0.006773,0.593747
185.5000,0.132119,0.001635,0.131768,0.001803,0.630127
186.0000,0.314529,0.002903,0.293673,0.004475,0.661207
186.5000,0.194226,0.002164,0.198138,0.001694,0.601418
187.0000,0.194651,0.121097,0.180658,0.094991,0.334973
187.5000,0.137670,0.001055,0.139822,0.001260,0.724652
188.0000,0.137612,0.000572,0.141822,0.000812,0.667987
188.5000,0.062576,0.126720,0.061373,0.127309,0.707127
189.0000,0.158316,0.000818,0.159111,0.001233,0.516854
189.5000,0.147346,0.000144,0.143194,0.000299,0.482126
190.0000,0.162620,0.000052,0.164191,0.000104,0.674869
190.5000,0.142092,0.014546,0.150435,0.013074,0.660941
191.0000,0.129838,0.014367,0.128257,0.018367,0.769344
191.5000,0.241203,0.000581,0.193863,0.000349,0.561776
192.0000,0.160033,0.010708,0.171834,0.011924,0.734296
192.5000,0.152249,0.002120,0.147936,0.006765,0.548653
193.0000,0.147583,0.007817,0.148079,0.008525,0.697079
193.5000,0.190706,0.000011,0.189329,0.000012,0.678143
