beta,t_optima,exponente_ptc,potencia_base,semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
0.8,28,4.1,0.47,7,0.28071694097532635,98.3,0.009678882471707001,0.12893066844462409
0.8,28,4.1,0.47,8,-0.07937134141283907,26.6,0.0003489606840010485,0.12899422594256751
0.8,28,4.1,0.47,9,0.0509487282009319,67,-0.00793457063657539,0.12607841642043707
0.8,28,4.1,0.47,10,0.03007957967578364,59,0.0031736478423024374,0.13015031878524608
0.8,28,4.1,0.65,1,0.0016374630712492242,49.1,0.002054027913183148,0.12827626923855961
0.8,28,4.1,0.65,2,0.21040057499934556,93.6,-0.00500456952333433,0.1345718141479928
0.8,28,4.1,0.65,3,-0.15293893883063303,11.3,0.0016461639991513376,0.1291877709784616
0.8,28,4.1,0.65,4,-0.0026305328364434415,51.1,-0.008986570229015483,0.1372208966032893
0.8,28,4.1,0.65,5,-0.0576571147120586,31.9,0.0009250905821079307,0.12788921867517677
0.8,28,4.1,0.65,6,0.08419600464401425,75.2,-0.0022490350886674015,0.1279571842965458
0.8,28,4.1,0.65,7,0.2426139784879677,97.7,-0.0003509502129500894,0.13029390367114704
0.8,28,4.1,0.65,8,-0.08258138381418857,25.4,0.0010013386744813346,0.13112153536219487
0.8,28,4.1,0.65,9,0.06818249766479911,68.9,0.003189276560617842,0.1332142563518052
0.8,28,4.1,0.65,10,0.0840990218181671,72.5,0.0017195148645910078,0.13056082558843607
0.8,28,6,0.3,1,-0.7637835670434739,0,0.0026223289298367186,0.12726259617601648
0.8,28,6,0.3,2,-0.7547749752979885,0,0.00021538941290965847,0.12592399455048112
0.8,28,6,0.3,3,-0.7892194367059676,0,-0.0010616884838020786,0.12908295741518214
0.8,28,6,0.3,4,-0.7540535898942248,0,-0.004770796017970561,0.13497327308524706
0.8,28,6,0.3,5,-0.7601135254010299,0,0.00782874389370377,0.12965882805756573
0.8,28,6,0.3,6,-0.8193555768414635,0,-0.004728336366405363,0.1327477420832125
0.8,28,6,0.3,7,-0.7577583900092126,0,-0.0049470849360502105,0.13221716558324537
0.8,28,6,0.3,8,-0.7735235265346588,0,-0.0008288306969514596,0.13008918384534846
0.8,28,6,0.3,9,-0.7599429100469421,0,0.004191179286818396,0.12857153360555762
0.8,28,6,0.3,10,-0.7636619933064726,0,-0.0011055095105992187,0.13001423542151241
0.8,28,6,0.47,1,-0.7517238956959521,0,0.0018716403967740484,0.1307035065335628
0.8,28,6,0.47,2,-0.7440806912799058,0,0.00043582217015310514,0.13003094705517332
0.8,28,6,0.47,3,-0.7683758072402673,0,-0.00467093229195071,0.1304237819768163
0.8,28,6,0.47,4,-0.7078058176799039,0,-0.0013070452873604457,0.13400096158502336
0.8,28,6,0.47,5,-0.7089251575972333,0,-0.006863523012482487,0.13051470961913592
0.8,28,6,0.47,6,-0.7885803318948089,0,-0.004739079914017266,0.13715685918371434
