ventana,delta_struct,acoplamiento,error,lf,icr,irde,modo,plan,j,mezcla_nada,mezcla_preservar,mezcla_contexto,S_zona_voz,S_perturbacion,S_no_intervenir,S_contexto,V_nada,V_preservar,V_contexto,C_nada,C_preservar,C_contexto
990,0.028167041353600993,0.9996639644722238,0.0003360355277761684,0.43033261893859137,0.9993280418643236,1.1291987592780805e-07,ZONA_VOZ,PRESERVAR,0.8645498928407886,0.1430052882857849,0.8569937117142779,0.0,0.8202906406628641,0.0018647359560318374,0.97150638824523,0.9981352640439681,1.0,0.7290997856815774,1.0,0.714246805877385,1.0,0.6420892251092801
991,0.03938425452194963,0.9996975680250014,0.00030243197499857377,0.4304982564589962,0.9993952275151023,9.146509950153796e-08,ZONA_VOZ,PRESERVAR,0.8645747384688494,0.1340273978995227,0.8659716021005401,0.0,0.8023301713262662,0.0028611932753844355,0.9603252245609307,0.9971388067246155,1.0,0.7291494769376988,1.0,0.7198373877195345,1.0,0.655560788991141
992,0.04194485968769775,0.9997278112225013,0.0002721887774986831,0.4306507639013218,0.9994556965317333,7.408673059622761e-08,ZONA_VOZ,PRESERVAR,0.8645976145851982,0.12561395823383212,0.8743850417662306,0.0,0.8684628818647603,0.0016912908628655152,0.9577943684548843,0.9983087091371344,1.0,0.7291952291703965,1.0,0.7211028157725579,1.0,0.6037075327316127
993,0.030121995984132906,0.9997550301002511,0.0002449698997488703,0.43079111089910693,0.999510120210754,6.001025178297156e-08,ZONA_VOZ,PRESERVAR,0.8646186666348661,0.11772936924991918,0.8822696307501436,0.0,0.8808456493271648,0.0013472827206449907,0.9696404130984547,0.998652717279355,1.0,0.7292373332697321,1.0,0.7151797934507726,1.0,0.5941109260896875
994,0.04829348503216569,0.999779527090226,0.00022047290977400547,0.43092020446142754,0.9995591027887559,4.860830394421676e-08,ZONA_VOZ,PRESERVAR,0.8646380306692141,0.11034029133934188,0.889658708660721,0.0,0.8220755183390903,0.0017628809867951912,0.9514966894632285,0.9982371190132048,1.0,0.7292760613384283,1.0,0.7242516552683858,1.0,0.640752992440612
995,0.03830419606078434,0.9998015743812034,0.0001984256187965716,0.43103889180114996,0.999603188135133,3.9372726194802354e-08,ZONA_VOZ,PRESERVAR,0.8646558337701725,0.10341549981798959,0.8965835001820732,0.0,0.8509989281472111,0.004215635947820533,0.9615049788542249,0.9957843640521795,1.0,0.729311667540345,1.0,0.7192475105728875,1.0,0.6154067851291926
996,0.03558459928146863,0.9998214169430831,0.00017858305691687004,0.4311479632238399,0.9996428657780745,3.1891908217774046e-08,ZONA_VOZ,PRESERVAR,0.864672194483576,0.09692574903455044,0.9030732509655123,0.0,0.8474312603884552,0.011383337611518433,0.9642431724681334,0.9886166623884816,1.0,0.729344388967152,1.0,0.7178784137659333,1.0,0.6118099878388692
997,0.0347866479249051,0.9998392752487748,0.00016072475122519414,0.4312481550369003,0.9996785763299952,2.5832445656400545e-08,ZONA_VOZ,PRESERVAR,0.864687223255535,0.09084364542920438,0.9091553545708583,0.0,0.7998062019225353,0.005607300260828158,0.9650582183992035,0.9943926997391719,1.0,0.7293744465110701,1.0,0.7174708908003982,1.0,0.6551084682272263
998,0.03418041307025056,0.9998553477238973,0.00014465227610271914,0.43134015244599394,0.9997107163720755,2.092428098169729e-08,ZONA_VOZ,PRESERVAR,0.8647010228668991,0.08514352892714094,0.9148554710729219,0.0,0.8245005604774459,0.014647413551300677,0.9656798789281955,0.9853525864486993,1.0,0.7294020457337982,1.0,0.7171600605359023,1.0,0.6272168794218727
999,0.040997741566462055,0.9998698129515076,0.00013018704849243612,0.4314245924121959,0.9997396428516827,1.6948667595171914e-08,ZONA_VOZ,PRESERVAR,0.8647136888618294,0.07980136209654393,0.9201976379035187,0.0,0.827947919363268,0.012855410814507497,0.9588774087600149,0.9871445891854925,1.0,0.7294273777236587,1.0,0.7205612956199925,1.0,0.6260717947763288
