fase,t,ged_L,ged_R,asim_LR,coh_rel,err_L,err_R,geom,frac_L,frac_R,efic,lf
F7,18.33,0.00013563966390544083,0.00013565232841780805,1.3288272968655055e-08,-0.0003727311575919487,0.17139707725268027,0.1712693547967573,0.4541109664972644,0.7913567461843402,0.8080803436998395,0.17648539061919805,1
F7,18.34,0.00013591275341447105,0.00013592524789533502,1.3140738501250452e-08,-2.5503272841318135e-05,0.17055696558085912,0.1705482662810608,0.4540361112578896,0.7914462324873919,0.808006862605674,0.17674484963840736,1
F7,18.35,0.00013618686959889276,0.00013619919415556789,1.2993179255555847e-08,-0.00023615083044989046,0.16983767991326876,0.16975748423321518,0.45396536028483836,0.7915733098966896,0.8079471102579632,0.1769969210870968,1
F7,18.36,0.0001364620054482232,0.00013647416023597028,1.284554232953702e-08,-0.0003015881786625115,0.1696430551056198,0.16954076127617526,0.4538863131099798,0.7916712031340366,0.8078850084351085,0.17724258786436395,1
F7,18.37,0.0001367381556446627,0.0001367501408012558,1.269783792660346e-08,-0.00042672994502844497,0.1694896656005717,0.16934507467043944,0.45380013843813427,0.7918065106437185,0.8078152115100087,0.17748158363849179,1
F7,18.38,0.00013701531283493094,0.0001370271285078878,1.2550071807442807e-08,-0.00038456103874123803,0.1694215457226706,0.16929128996270598,0.45373243067379476,0.7918932900656225,0.8077849210207472,0.1777228366415972,1
F7,18.39,0.0001372934690401448,0.0001373051153907639,1.240219467334149e-08,-0.00032903897803834424,0.16950642941561384,0.16939491766268247,0.4536554902639679,0.791996262712759,0.8077267066605524,0.17796428857019964,1
F7,18.4,0.00013757261653598934,0.0001375840936711784,1.225424187130749e-08,-0.0002513898141577557,0.1695041428930307,0.16941894108191133,0.4535904951353005,0.7920694358140431,0.8077139200916138,0.17820680266660402,1
F7,18.41,0.00013785274845846645,0.00013786405652142656,1.2106264528817877e-08,-0.0003252394303303978,0.16983475242039764,0.16972431442290148,0.4535064579622311,0.7921499696855412,0.8076896330437549,0.17844143811529786,1
F7,18.42,0.00013813385786318216,0.00013814499704954317,1.1958273473721516e-08,-0.0004154016264550251,0.16934077010910356,0.1692001396645205,0.4534392093409767,0.7922435602956592,0.8076516929240452,0.17866497860368324,1
F7,18.43,0.00013841593782194678,0.00013842690834322188,1.1810239714152888e-08,0.00030986545280630714,0.1690767534083778,0.16918156797633016,0.45334443131178764,0.7923537528961846,0.8075970525968603,0.17888635808165837,1
F7,18.44,0.00013869898005360972,0.00013870978211841364,1.1662221331148354e-08,0.0002657055381849185,0.16905284592105754,0.16914270635231266,0.453266603276517,0.7924687814979248,0.8074956742099303,0.1791109285314291,1
F7,18.45,0.0001389829764268395,0.00013899361030891575,1.1514283802965993e-08,0.00020804429463953312,0.1691219178814015,0.1691923022247108,0.45321747367571175,0.7926056801337398,0.8074502106962276,0.17933907550828262,1
F7,18.46,0.000139267917967724,0.00013927838402949506,1.1372511137705941e-08,0.00015053693626430428,0.16944896898175887,0.16949999332010882,0.4531562641937788,0.7927172076480207,0.8073749789486593,0.1795662437380477,1
F7,18.47,0.0001395537970213783,0.00013956409568006178,1.1238863158355757e-08,0.00019980766171359202,0.1699371765160533,0.1700050995873791,0.45308159897108735,0.7928542935955896,0.8073191795351646,0.17979516678023483,1
F7,18.48,0.00013984060521334295,0.00013985073691874408,1.1113414114023813e-08,0.0001891262263435565,0.17005477697932467,0.17011911278341502,0.4529863295308829,0.7929826234914614,0.807242567006006,0.18001821289948508,1
F7,18.49,0.00014012833402898605,0.0001401382992344962,1.0988395493367966e-08,0.00017596344549827717,0.17006138079195604,0.17012124049811447,0.4529474674113823,0.7930907066374648,0.8071816103631464,0.18024476512371768,1
F7,18.5,0.00014041697657075168,0.00014042677573073643,1.0863425058873001e-08,0.0001381257024371937,0.17015178988808574,0.17019880105254814,0.45287542768424416,0.7931985127319112,0.8071147978245123,0.18047524879435908,1
F7,18.51,0.0001407065239782294,0.00014071615758167895,1.0738510446837763e-08,0.00014302095900888247,0.17041036443749957,0.1704591159174911,0.4528109996058152,0.7933387744736632,0.8070318160097132,0.18070513996319196,1
F7,18.52,0.00014099696641935245,0.00014100643493290544,1.0613664731752126e-08,0.0001769111670458235,0.17007768306911358,0.17013787099984876,0.4527014910776167,0.7934850515420713,0.8069785945872645,0.18092653054412933,1
F7,18.53,0.00014128829552959924,0.00014129759945231342,1.0488943502232531e-08,-9.520187887370805e-05,0.16986685331268142,0.16983451310433303,0.45261550278934537,0.7936167795389497,0.8069199472009068,0.1811485134803529,1
F7,18.54,0.00014158050296568116,0.00014158964286680112,1.0366823910999387e-08,-0.0001171243594414999,0.17034352437035413,0.17030362629102563,0.4525680472684067,0.7937625673522106,0.8068036129155085,0.18136912885375697,1
F7,18.55,0.00014187357948374779,0.00014188255597242264,1.0248583927524962e-08,-9.610193293133145e-05,0.17092000398540322,0.17088715565666224,0.45249615421280864,0.7938800323070276,0.8067564910493865,0.18159227059765773,1
F7,18.56,0.00014216751237859906,0.00014217632610771452,1.0130694635542232e-08,-0.00011094990304562028,0.1710059287050016,0.1709679867322286,0.45240888056664375,0.7940082658362547,0.8066791767849067,0.18181609334681934,1
F7,18.57,0.00014246229067088094,0.0001424709422976257,1.001684683302633e-08,-0.00013882860341362014,0.17096980011042834,0.17092233570268142,0.4523334709346612,0.7941047511190935,0.8066336395968189,0.1820417948939686,1
F7,18.58,0.00014275790310384117,0.00014276639326124308,9.905545888835876e-09,-0.00029774820946450837,0.17058409112816186,0.17048253914965877,0.4522599372950933,0.7942654782772193,0.8065357869998403,0.18226984712427569,1
F7,18.59,0.0001430543383176288,0.0001430626676004881,9.805132828596752e-09,-0.00028623896581181455,0.1701958812466183,0.17009847574177372,0.45219636985710354,0.7943849394894854,0.8064342260016059,0.18250136788616253,1
F7,18.6,0.00014335158723445733,0.00014335975619055312,9.70456402696497e-09,-0.00023972086016961654,0.17019918129154094,0.1701176002599133,0.452097639956004,0.7945438800159402,0.8063415737008287,0.18273170765360064,1
F7,18.61,0.0001436496391850353,0.00014365764836955894,9.608577779745017e-09,-9.097746204256257e-05,0.16993305701256708,0.16990213966885118,0.4519842934377178,0.794675574020017,0.8062671182648935,0.1829633372607046,1
F7,18.62,0.0001439484855715517,0.00014395633553731382,9.513573024213846e-09,-0.000530291408133265,0.16963493682373915,0.16945512027982068,0.451890546298379,0.7947804543549373,0.8061811159735839,0.18319675457866985,1
F7,18.63,0.00014424811439005014,0.00014425580575143598,9.418337719407962e-09,-0.000621886829210509,0.16923410635692931,0.1690237482522087,0.45181796159134563,0.79494409528579,0.8060943086852201,0.18343263909607185,1
