fase,t,ged_L,ged_R,frac_L,frac_R,sesgo_freq,asimetria_LR,G_actividad,senal_mant,eficiencia,error_rec
Fase 4,16.59,0.0007160255644623331,0.0007160253072196165,0.7683579706541068,0.805846276775374,0.047628261939302856,3.78046092975334e-10,0.4610024796677098,0.0,0.30351048440254824,0.0035013856635093114
Fase 4,16.6,0.0007194303386893593,0.0007194300895037753,0.7682155127147596,0.8059188992741968,0.04790364313527464,3.794866748935469e-10,0.4609634043590491,0.0,0.30419645694701164,0.003502888853277284
Fase 4,16.61,0.0007228324413046565,0.0007228322002995089,0.7680733492827457,0.8059913175472883,0.04817841231504731,3.8091432574206467e-10,0.46092387410389046,0.0,0.30488230171160297,0.0035044543907480634
Fase 4,16.62,0.0007262316632020553,0.0007262314304994731,0.7679314847768804,0.806063529385215,0.04845256085977367,3.823289255606219e-10,0.46088389041908906,0.0,0.3055693227550419,0.003506081767254692
Fase 4,16.63,0.0007296277959060603,0.0007296275716269853,0.7677899235997141,0.8061355325883649,0.048726080181104366,3.8373035519343883e-10,0.4608434548332044,0.0,0.3062570713349907,0.0035077704739197267
Fase 4,16.64,0.0007330206315809386,0.0007330204158451123,0.767648670137409,0.8062073249669993,0.0489989617214405,3.851184962538289e-10,0.4608025688864491,0.0,0.3069441606068242,0.0035095200016940302
Fase 4,16.65,0.0007364099630397518,0.0007364097559657027,0.7675077287596165,0.8062789043413058,0.0492711969541846,3.864932311789834e-10,0.46076123413063763,0.0,0.30763086100424236,0.003511329841395512
Fase 4,16.66,0.0007397955837533285,0.0007397953854583602,0.7673671038193559,0.8063502685414503,0.04954277738398988,3.8785444321053367e-10,0.4607194521291346,0.0,0.3083185351327007,0.0035131994837478164
Fase 4,16.67,0.0007431772878591752,0.0007431770984593534,0.7672267996528941,0.8064214154076296,0.04981369454700899,3.89227248100696e-10,0.4606772244568026,0.0,0.3090069750740989,0.0035151284194189607
Fase 4,16.68,0.0007465548701703322,0.0007465546897804733,0.7670868205796247,0.8064923427901197,0.05008394001113991,3.9083252929460285e-10,0.4606345526999499,0.0,0.3096946042860128,0.0035171161390599036
Fase 4,16.69,0.0007499281261841696,0.0007499279549178273,0.7669471709019509,0.8065630485493296,0.05035350537627083,3.9242877547688837e-10,0.46059143845627754,0.0,0.3103810332065365,0.003519162133343073
Fase 4,16.7,0.0007532968520911195,0.0007532966900605757,0.7668078549051657,0.8066335305558476,0.05062238227452397,3.941528310941591e-10,0.4605478833348265,0.0,0.3110676932229874,0.003521265893000816
Fase 4,16.71,0.0007566608447833568,0.0007566606920996069,0.7666688768573356,0.8067037866904933,0.05089056237049671,3.962698645123408e-10,0.46050388895592415,0.0,0.3117524578481762,0.0035234269088638016
Fase 4,16.72,0.0007600199018634109,0.000760019758636155,0.7665302410091843,0.806773814844364,0.05115803736150229,3.983826694176187e-10,0.46045945695113066,0.0,0.3124345892755917,0.003525644671899342
Fase 4,16.73,0.0007633738216527281,0.000763373687990358,0.7663919515939772,0.8068436129188834,0.051424798977808175,4.004910434045621e-10,0.46041458896318516,0.0,0.313116693409094,0.003527918673249658
Fase 4,16.740000000000002,0.000766722403200168,0.0007667222792097575,0.7662540128274062,0.8069131788258501,0.05169083898287346,4.028554072363935e-10,0.46036928664595067,0.0,0.3137982978180191,0.003530248404270077
Fase 4,16.75,0.00077006544629044,0.0007700653320777336,0.7661164289074776,0.8069825104874828,0.05195614917358335,4.0542492616893504e-10,0.46032355166436034,0.0,0.3144798538975138,0.0035326333565671515
Fase 4,16.76,0.0007734027514524839,0.0007734026471218848,0.7659792040143971,0.807051605836467,0.05222072138048438,4.079935852079438e-10,0.4602773856943621,0.0,0.31515743135274815,0.0035350730220367003
Fase 4,16.77,0.0007767341199677874,0.0007767340256223488,0.7658423423104604,0.8071204628160016,0.05248454746801528,4.105611307783974e-10,0.46023079042286313,0.0,0.3158350794156091,0.0035375668929017974
Fase 4,16.78,0.0007800593538786441,0.0007800592696200589,0.7657058479399397,0.8071890793798425,0.052747619334738836,4.131273090203529e-10,0.46018376754767454,0.0,0.316512970078673,0.003540114461750653
Fase 4,16.79,0.0007833782559963534,0.0007833781819249425,0.7655697250289756,0.8072574534923486,0.053009928913569766,4.1569186581150924e-10,0.46013631877745553,0.0,0.31719120637170933,0.0035427152215744386
Fase 4,16.8,0.0007866906299093593,0.000786690566124063,0.7654339776854664,0.8073255831285243,0.05327146817200287,4.182802510929432e-10,0.4600884458316571,0.0,0.3178688123446766,0.003545368665805018
Fase 4,16.81,0.0007899962799913273,0.0007899962265896951,0.7652986099989607,0.8073934662740638,0.05353222911233812,4.214203720903161e-10,0.4600401504404652,0.0,0.31854619144057755,0.0035480742883525996
Fase 4,16.82,0.0007932950114091637,0.0007932949684873444,0.7651636260405493,0.8074611009253942,0.053792203771905876,4.248969253498732e-10,0.4599914343447443,0.0,0.319222629973753,0.0035508315836433003
Fase 4,16.830000000000002,0.000796586630130973,0.0007965865977837063,0.765029029862759,0.8075284850897166,0.054051384223288,4.284040346574871e-10,0.4599422992959805,0.0,0.3198982428031457,0.003553640046656624
Fase 4,16.84,0.0007998709429339561,0.000799870921254562,0.7648948254994464,0.8075956167850485,0.05430976257453981,4.3191600643291467e-10,0.45989274705622324,0.0,0.32057366972373114,0.0035564991729628514
Fase 4,16.85,0.0008031477574122465,0.0008031477464926179,0.7647610169656943,0.807662494040265,0.05456733096940857,4.3543245811803456e-10,0.45984277939802837,0.0,0.32124748432301575,0.0035594084587603327
Fase 4,16.86,0.0008064168819846868,0.0008064168819152797,0.7646276082577063,0.8077291148951394,0.054824081587551275,4.393866967977078e-10,0.45979239810439965,0.0,0.32192041446330844,0.0035623674009126914
Fase 4,16.87,0.0008096781259025462,0.0008096781367723713,0.7644946033527044,0.8077954774003823,0.05508000664475084,4.4342754311416754e-10,0.4597416049687309,0.0,0.32259321016423037,0.0035653754969859354
Fase 4,16.88,0.0008129312992571761,0.0008129313211537901,0.7643620062088275,0.8078615796176819,0.05533509839312961,4.475894570073685e-10,0.45969040179474696,0.0,0.32326481094143616,0.0035684322452854567
Fase 4,16.89,0.0008161762129876027,0.0008161762459971003,0.7642298207650297,0.8079274196197431,0.05558934912136247,4.517941664695185e-10,0.45963879039644495,0.0,0.32393514121439176,0.003571537144892952
Fase 4,16.9,0.0008194126788880637,0.0008194127230950698,0.7640980509409793,0.8079929954903246,0.055842751154887876,4.5600705122646705e-10,0.45958677259803515,0.0,0.32458187684987316,0.0035746896957032236
Fase 4,16.91,0.0008226405096154791,0.0008226405651031404,0.7639667006369609,0.8080583053242778,0.05609529685611634,4.60249066768744e-10,0.4595343502338814,0.0,0.3251797307876092,0.003577889398460885
Fase 4,16.92,0.0008258595186968679,0.0008258595855468464,0.7638357737337761,0.8081233472275838,0.05634697862463876,4.647281621386878e-10,0.4594815251484415,0.0,0.325772018404756,0.003581135754796958
Fase 4,16.93,0.0008290695205366958,0.0008290695988291596,0.7637052740926451,0.8081881193173895,0.056597788897431694,4.692172803282508e-10,0.4594282991962069,0.0,0.32636152609151164,0.003584428267265369
Fase 4,16.94,0.0008322703304241676,0.0008322704202377854,0.7635752055551117,0.808252619722044,0.05684772014906224,4.738475491590035e-10,0.45937467424164297,0.0,0.3269501867089091,0.0035877664393793233
Fase 4,16.95,0.0008354617645404593,0.0008354618659523918,0.7634455719429465,0.8083168465811351,0.057096764891889584,4.786360177554813e-10,0.4593206521591276,0.0,0.3275384077613607,0.003591149775647582
Fase 4,16.96,0.000838643639965883,0.0008386437530517769,0.7633163770580521,0.8083807980455223,0.05734491567626644,4.834352017134741e-10,0.4592662348328909,0.0,0.328125746301807,0.003594577781610613
Fase 4,16.97,0.0008418157746869985,0.0008418158995209799,0.7631876246823693,0.8084444722773736,0.05759216509073822,4.885903807901662e-10,0.459211424156954,0.0,0.3287128174528716,0.0035980499638766372
