ciclo,grad_f2,grad_f13,busc_f2,busc_f13,geom_f2,geom_f13,coh_f2,coh_f13,mejor_ef,c28,c21,c29
87,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.3988857482888421,0.3463972056724326,-0.0005782878736146213,0.0005681933651854601,0.8873914814638676,1,1,1
88,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.4000464830895545,0.35321317247263545,-0.0005785561492283407,0.0005729054955366162,0.8873914814638676,1,1,1
89,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.39928279389007193,0.42762238137193403,-0.0005785298111722699,0.0005902427840586251,0.8873914814638676,1,1,1
90,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.38826210981389797,0.36698971265684294,-0.0005984560242257684,0.0005787165730647894,0.8873914814638676,1,1,1
91,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.39656541644304444,0.3491937329504667,-0.000582193649314444,0.00057089362139168,0.8873914814638676,1,1,1
92,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.39924552627234994,0.3567399763307679,-0.0005810657855316566,0.0005701508786697525,0.8873914814638676,1,1,1
93,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.398920037725914,0.3610448109422027,-0.0005787179690909212,0.000567982100515517,0.8873914814638676,1,1,1
94,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.39856173088351027,0.36165225277640767,-0.0005772438275424935,0.0005690848539181738,0.8873914814638676,1,1,1
95,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.3988527228207308,0.3542893927440355,-0.0005792805991751722,0.0005667509526067498,0.8873914814638676,1,1,1
96,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.4000434255617743,0.3526362259118437,-0.000576214383932568,0.0005722852783302262,0.8873914814638676,1,1,1
97,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.39996804916345274,0.3537261138317473,-0.0005791555277550565,0.000568059774877385,0.8873914814638676,1,1,1
98,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.39873099179307964,0.34640455069799964,-0.0005783239577052455,0.0005682327907501829,0.8873914814638676,1,1,1
99,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.39993679614377264,0.35322331970656196,-0.0005785399911773381,0.0005729050447572222,0.8873914814638676,1,1,1
100,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.3993878584088021,0.4276766482191014,-0.0005784670326915238,0.0005902624520733749,0.8873914814638676,1,1,1
