bateria,tag,clave,potencia_base,beta,t_optima,exponente_ptc,sigma,modo,n,r_huella_acoplamiento,r_huella_brecha
bateria,B,0.98|5|0.65|4,0.65,0.98,25,4.1,5,parada,60,0.4405863385910666,0.8786906776533504
bateria,B,0.98|6.8|0.3|4,0.3,0.98,25,4.1,6.8,parada,60,0.5156501410548174,0.9504651461017759
bateria,B,0.98|6.8|0.47|4,0.47,0.98,25,4.1,6.8,parada,60,0.5048229983130068,0.919327669056917
bateria,B,0.98|6.8|0.65|4,0.65,0.98,25,4.1,6.8,parada,60,0.4405863385910666,0.8786906776533504
bateria,B,0.98|8|0.3|4,0.3,0.98,25,4.1,8,parada,60,0.5156501410548174,0.9504651461017759
bateria,B,0.98|8|0.47|4,0.47,0.98,25,4.1,8,parada,60,0.5048229983130068,0.919327669056917
bateria,B,0.98|8|0.65|4,0.65,0.98,25,4.1,8,parada,60,0.4405863385910666,0.8786906776533504
bateria,B,0.8|3|0.3|5,0.3,0.8,25,4.1,3,parada,60,0.2410964822388161,0.9314919533370899
bateria,B,0.8|3|0.47|5,0.47,0.8,25,4.1,3,parada,60,0.27718482198981514,0.8971826197854872
bateria,B,0.8|3|0.65|5,0.65,0.8,25,4.1,3,parada,60,0.2770820470223772,0.8604197516955677
bateria,B,0.8|5|0.3|5,0.3,0.8,25,4.1,5,parada,60,0.2410964822388161,0.9314919533370899
bateria,B,0.8|5|0.47|5,0.47,0.8,25,4.1,5,parada,60,0.27718482198981514,0.8971826197854872
bateria,B,0.8|5|0.65|5,0.65,0.8,25,4.1,5,parada,60,0.2770820470223772,0.8604197516955677
bateria,B,0.8|6.8|0.3|5,0.3,0.8,25,4.1,6.8,parada,60,0.2410964822388161,0.9314919533370899
bateria,B,0.8|6.8|0.47|5,0.47,0.8,25,4.1,6.8,parada,60,0.27718482198981514,0.8971826197854872
bateria,B,0.8|6.8|0.65|5,0.65,0.8,25,4.1,6.8,parada,60,0.2770820470223772,0.8604197516955677
bateria,B,0.8|8|0.3|5,0.3,0.8,25,4.1,8,parada,60,0.2410964822388161,0.9314919533370899
bateria,B,0.8|8|0.47|5,0.47,0.8,25,4.1,8,parada,60,0.27718482198981514,0.8971826197854872
bateria,B,0.8|8|0.65|5,0.65,0.8,25,4.1,8,parada,60,0.2770820470223772,0.8604197516955677
bateria,B,0.88|3|0.3|5,0.3,0.88,25,4.1,3,parada,60,0.35492400648366457,0.9387270346607413
bateria,B,0.88|3|0.47|5,0.47,0.88,25,4.1,3,parada,60,0.3747441370193372,0.9046828583294729
bateria,B,0.88|3|0.65|5,0.65,0.88,25,4.1,3,parada,60,0.36056993401788084,0.8690883495719852
bateria,B,0.88|5|0.3|5,0.3,0.88,25,4.1,5,parada,60,0.35492400648366457,0.9387270346607413
bateria,B,0.88|5|0.47|5,0.47,0.88,25,4.1,5,parada,60,0.3747441370193372,0.9046828583294729
bateria,B,0.88|5|0.65|5,0.65,0.88,25,4.1,5,parada,60,0.36056993401788084,0.8690883495719852
