ciclo,num_estados,delta_struct,var_error,p_reinicio,i_es,i_sm,derivada,contador_colapso
275,256,1,0.0,0.0,3.718057689276596e-06,0.0015419266724012361,20.479497266667714,0
276,256,1,0.0,0.0,3.1325664060401762e-06,0.0013395522299712854,20.49625568753801,0
277,256,1,0.0,0.0,3.37622222020448e-06,0.0011352234773481832,20.506208068258157,0
278,256,1,0.0,0.0,3.10119318009585e-06,0.001264532306135217,20.505602917435084,0
279,256,1,0.0,0.0,3.2356687223472747e-06,0.0013024145287480822,20.49805532616187,0
280,256,1,0.0,0.0,3.943236552610364e-06,0.001441639148850649,20.501500894964018,0
281,256,1,0.0,0.0,3.374598010339738e-06,0.0016118202788064013,20.50656258183014,0
282,256,1,0.0,0.0,3.479002632359333e-06,0.0014595197382006747,20.501595436925225,0
283,256,1,0.0,0.0,3.5359150508321807e-06,0.0015078430013581012,20.501417101112104,0
284,256,1,0.0,0.0,3.506072329647156e-06,0.001604276152051848,20.509974856066588,0
285,256,1,0.0,0.0,3.476595795109401e-06,0.0014655672623588819,20.515893948243747,0
286,256,1,0.0,0.0,3.697829431717695e-06,0.0015004053915620519,20.51261927396591,0
287,256,1,0.0,0.0,3.7582754841801873e-06,0.001687448816940498,20.514398787131654,0
288,256,1,0.0,0.0,3.3187528417045178e-06,0.0015786033268351434,20.51743830365633,0
289,256,1,0.0,0.0,3.631653038537028e-06,0.0014573178835911868,20.52111519891922,0
290,256,1,0.0,0.0,3.984065989734558e-06,0.0015997301914793185,20.525888374832252,0
291,256,1,0.0,0.0,3.1455516480346427e-06,0.0014513017343503855,20.531696269812116,0
292,256,1,0.0,0.0,3.3023122021174705e-06,0.0012884992124703504,20.536032939080275,0
293,256,1,0.0,0.0,3.3421570277936953e-06,0.0013000471038391555,20.54630001366336,0
294,256,1,0.0,0.0,3.5235832540879754e-06,0.0013681396666875391,20.557393522808905,0
295,256,1,0.0,0.0,3.922724833095731e-06,0.0015259847772844505,20.563691324271147,0
296,256,1,0.0,0.0,3.3536448780102575e-06,0.0015182326335917173,20.566892773203424,0
297,256,1,0.0,0.0,3.1775351250742957e-06,0.001347810552252722,20.570529953161074,0
298,256,1,0.0,0.0,2.9709734386852272e-06,0.0013343124000494413,20.573460632704542,0
299,256,1,0.0,0.0,3.6493007433838836e-06,0.0014158693390969456,20.576246395474588,0
300,256,1,0.0,0.0,3.0441405797330377e-06,0.001424334183694378,20.57757500739573,0
301,256,1,0.0,0.0,3.509184995413322e-06,0.0013877240046496178,20.573708508701714,0
